"source","target","correlation","direct","cor"
"fun_ASV_91","bac_ASV_651",0.735487071557638,"undirected","+"
"fun_ASV_100","bac_ASV_651",-0.767645180469185,"undirected","-"
"fun_ASV_203","bac_ASV_651",0.745860655077492,"undirected","+"
"fun_ASV_256","bac_ASV_651",0.720964054629843,"undirected","+"
"fun_ASV_311","bac_ASV_651",0.762458388709258,"undirected","+"
"fun_ASV_99","bac_ASV_651",0.791504422564849,"undirected","+"
"fun_ASV_76","bac_ASV_651",0.732374996501682,"undirected","+"
"fun_ASV_267","bac_ASV_651",0.770757255525141,"undirected","+"
"fun_ASV_85","bac_ASV_651",0.787354989156907,"undirected","+"
"fun_ASV_608","bac_ASV_651",0.858932715443899,"undirected","+"
"fun_ASV_151","bac_ASV_651",-0.75519688024536,"undirected","-"
"fun_ASV_42","bac_ASV_651",-0.762458388709258,"undirected","-"
"fun_ASV_338","bac_ASV_651",-0.768354368559133,"undirected","-"
"fun_ASV_317","bac_ASV_651",0.755474452554744,"undirected","+"
"fun_ASV_68","bac_ASV_651",-0.709553112758004,"undirected","-"
"fun_ASV_283","bac_ASV_651",-0.708515754406018,"undirected","-"
"fun_ASV_246","bac_ASV_651",0.871381015667724,"undirected","+"
"fun_ASV_847","bac_ASV_651",0.709593326381648,"undirected","+"
"fun_ASV_578","bac_ASV_651",0.765570463765214,"undirected","+"
"fun_ASV_26","bac_ASV_651",0.684656512310354,"undirected","+"
"fun_ASV_135","bac_ASV_651",0.819082377476538,"undirected","+"
"fun_ASV_314","bac_ASV_651",0.84121311882602,"undirected","+"
"fun_ASV_270","bac_ASV_651",0.762458388709258,"undirected","+"
"fun_ASV_258","bac_ASV_12",0.781217750257998,"undirected","+"
"fun_ASV_100","bac_ASV_12",0.688338493292054,"undirected","+"
"fun_ASV_203","bac_ASV_12",-0.812177502579979,"undirected","-"
"fun_ASV_36","bac_ASV_12",-0.721362229102167,"undirected","-"
"fun_ASV_256","bac_ASV_12",-0.803921568627451,"undirected","-"
"fun_ASV_454","bac_ASV_12",-0.766769865841073,"undirected","-"
"fun_ASV_311","bac_ASV_12",-0.847265221878225,"undirected","-"
"fun_ASV_76","bac_ASV_12",-0.805985552115583,"undirected","-"
