ID	Order	Standardized_abundance	
acetate: acetyl-CoA to acetate	Absconditabacterales	9.73E-05	
aminoglycosides	Absconditabacterales	NA	
beta_lactamases	Absconditabacterales	NA	
Biofilm	Absconditabacterales	6.05E-05	
butyrate production I	Absconditabacterales	NA	
butyrate production II	Absconditabacterales	NA	
butyrate: acetyl-CoA to crotonyl-CoA	Absconditabacterales	NA	
Cadaverine	Absconditabacterales	NA	
Cytolysin	Absconditabacterales	NA	
fosfomycins	Absconditabacterales	NA	
glycopeptides	Absconditabacterales	NA	
Hemolysin	Absconditabacterales	NA	
Inerolysin	Absconditabacterales	NA	
lactate production	Absconditabacterales	NA	
macrolide_lincosamide_streptogramin	Absconditabacterales	NA	
multiple_drug_resistance	Absconditabacterales	NA	
N-Acetylputrescine	Absconditabacterales	NA	
peptide_antibiotic	Absconditabacterales	NA	
phenicols	Absconditabacterales	NA	
Phospholipase C	Absconditabacterales	NA	
polymyxin	Absconditabacterales	NA	
propionate production I	Absconditabacterales	NA	
propionate production II	Absconditabacterales	NA	
propionate production III	Absconditabacterales	NA	
quinolone_antibacterials	Absconditabacterales	NA	
rifampicin	Absconditabacterales	NA	
Sialidase	Absconditabacterales	NA	
succinate production	Absconditabacterales	NA	
sulfonamides	Absconditabacterales	NA	
tetracyclines	Absconditabacterales	NA	
trimethoprim	Absconditabacterales	NA	
Trimethylamine	Absconditabacterales	NA	
Urease	Absconditabacterales	NA	
Vaginolysin	Absconditabacterales	NA	
acetate: acetyl-CoA to acetate	Acetobacterales	0.000286551	
aminoglycosides	Acetobacterales	NA	
beta_lactamases	Acetobacterales	NA	
Biofilm	Acetobacterales	0.00385104	
butyrate production I	Acetobacterales	0.002997072	
butyrate production II	Acetobacterales	0.00231414	
butyrate: acetyl-CoA to crotonyl-CoA	Acetobacterales	0.003556758	
Cadaverine	Acetobacterales	NA	
Cytolysin	Acetobacterales	NA	
fosfomycins	Acetobacterales	NA	
glycopeptides	Acetobacterales	NA	
Hemolysin	Acetobacterales	NA	
Inerolysin	Acetobacterales	NA	
lactate production	Acetobacterales	0.00012681	
macrolide_lincosamide_streptogramin	Acetobacterales	NA	
multiple_drug_resistance	Acetobacterales	0.000149896	
N-Acetylputrescine	Acetobacterales	0.002601074	
peptide_antibiotic	Acetobacterales	NA	
phenicols	Acetobacterales	NA	
Phospholipase C	Acetobacterales	NA	
polymyxin	Acetobacterales	NA	
propionate production I	Acetobacterales	NA	
propionate production II	Acetobacterales	NA	
propionate production III	Acetobacterales	NA	
quinolone_antibacterials	Acetobacterales	NA	
rifampicin	Acetobacterales	NA	
Sialidase	Acetobacterales	NA	
succinate production	Acetobacterales	0.00227289	
sulfonamides	Acetobacterales	NA	
tetracyclines	Acetobacterales	NA	
trimethoprim	Acetobacterales	NA	
Trimethylamine	Acetobacterales	NA	
Urease	Acetobacterales	0.014895126	
Vaginolysin	Acetobacterales	NA	
acetate: acetyl-CoA to acetate	Actinomycetales	1.47196129	
aminoglycosides	Actinomycetales	3.145553371	
beta_lactamases	Actinomycetales	0.009212383	
Biofilm	Actinomycetales	2.016043861	
butyrate production I	Actinomycetales	0.144887637	
butyrate production II	Actinomycetales	0.111872622	
butyrate: acetyl-CoA to crotonyl-CoA	Actinomycetales	1.455930532	
Cadaverine	Actinomycetales	NA	
Cytolysin	Actinomycetales	1.351875211	
fosfomycins	Actinomycetales	NA	
glycopeptides	Actinomycetales	NA	
Hemolysin	Actinomycetales	1.459909765	
Inerolysin	Actinomycetales	1.351875211	
lactate production	Actinomycetales	0.911729137	
macrolide_lincosamide_streptogramin	Actinomycetales	1.003054812	
multiple_drug_resistance	Actinomycetales	0.011191556	
N-Acetylputrescine	Actinomycetales	0.709214586	
peptide_antibiotic	Actinomycetales	NA	
phenicols	Actinomycetales	0.030241267	
Phospholipase C	Actinomycetales	NA	
polymyxin	Actinomycetales	NA	
propionate production I	Actinomycetales	NA	
propionate production II	Actinomycetales	0.009757391	
