	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10	Patients11	Patients12	Patients13	Patients14	Patients15	Patients16	Patients17	Patients18	Patients19	Patients20
Patients01	0	0.585	0.531	0.545	0.557	0.62	0.547	0.915	0.818	0.621	0.58	0.803	0.581	0.534	0.675	0.533	0.766	0.552	0.569	0.527
Patients02	0.585	0	0.395	0.42	0.387	0.446	0.298	0.916	0.643	0.661	0.472	0.672	0.374	0.451	0.666	0.344	0.766	0.395	0.406	0.449
Patients03	0.531	0.395	0	0.286	0.292	0.439	0.37	0.893	0.792	0.686	0.422	0.8	0.447	0.392	0.647	0.247	0.781	0.344	0.319	0.293
Patients04	0.545	0.42	0.286	0	0.301	0.444	0.345	0.898	0.765	0.702	0.434	0.81	0.445	0.365	0.636	0.254	0.757	0.348	0.349	0.264
Patients05	0.557	0.387	0.292	0.301	0	0.413	0.37	0.9	0.758	0.682	0.359	0.762	0.365	0.377	0.639	0.275	0.732	0.377	0.367	0.328
Patients06	0.62	0.446	0.439	0.444	0.413	0	0.392	0.917	0.811	0.683	0.425	0.735	0.446	0.518	0.592	0.409	0.627	0.588	0.457	0.489
Patients07	0.547	0.298	0.37	0.345	0.37	0.392	0	0.898	0.751	0.641	0.489	0.629	0.323	0.396	0.571	0.349	0.757	0.404	0.418	0.396
Patients08	0.915	0.916	0.893	0.898	0.9	0.917	0.898	0	0.94	0.925	0.915	0.938	0.912	0.893	0.916	0.91	0.929	0.867	0.91	0.891
Patients09	0.818	0.643	0.792	0.765	0.758	0.811	0.751	0.94	0	0.764	0.801	0.867	0.665	0.687	0.859	0.774	0.83	0.694	0.808	0.757
Patients10	0.621	0.661	0.686	0.702	0.682	0.683	0.641	0.925	0.764	0	0.673	0.815	0.69	0.683	0.724	0.676	0.802	0.665	0.687	0.697
Patients11	0.58	0.472	0.422	0.434	0.359	0.425	0.489	0.915	0.801	0.673	0	0.787	0.506	0.482	0.64	0.373	0.713	0.463	0.46	0.439
Patients12	0.803	0.672	0.8	0.81	0.762	0.735	0.629	0.938	0.867	0.815	0.787	0	0.649	0.788	0.812	0.742	0.846	0.828	0.813	0.808
Patients13	0.581	0.374	0.447	0.445	0.365	0.446	0.323	0.912	0.665	0.69	0.506	0.649	0	0.441	0.651	0.409	0.758	0.56	0.47	0.477
Patients14	0.534	0.451	0.392	0.365	0.377	0.518	0.396	0.893	0.687	0.683	0.482	0.788	0.441	0	0.611	0.384	0.741	0.389	0.478	0.362
Patients15	0.675	0.666	0.647	0.636	0.639	0.592	0.571	0.916	0.859	0.724	0.64	0.812	0.651	0.611	0	0.647	0.8	0.703	0.669	0.681
Patients16	0.533	0.344	0.247	0.254	0.275	0.409	0.349	0.91	0.774	0.676	0.373	0.742	0.409	0.384	0.647	0	0.745	0.373	0.349	0.266
Patients17	0.766	0.766	0.781	0.757	0.732	0.627	0.757	0.929	0.83	0.802	0.713	0.846	0.758	0.741	0.8	0.745	0	0.75	0.78	0.69
Patients18	0.552	0.395	0.344	0.348	0.377	0.588	0.404	0.867	0.694	0.665	0.463	0.828	0.56	0.389	0.703	0.373	0.75	0	0.419	0.278
Patients19	0.569	0.406	0.319	0.349	0.367	0.457	0.418	0.91	0.808	0.687	0.46	0.813	0.47	0.478	0.669	0.349	0.78	0.419	0	0.371
Patients20	0.527	0.449	0.293	0.264	0.328	0.489	0.396	0.891	0.757	0.697	0.439	0.808	0.477	0.362	0.681	0.266	0.69	0.278	0.371	0
