"","Phylum","Family","Genus"
"Actinomycetaceae","Actinobacteria","Actinobacteria","Actinomycetaceae"
"Aerococcus","Firmicutes","Bacilli","Aerococcus"
"Aeromonas","Proteobacteria","Proteobacteria","Aeromonas"
"Akkermansia","Verrucomicrobia","Verrucomicrobia","Akkermansia"
"Alcaligenes faecalis et rel.","Proteobacteria","Proteobacteria","Alcaligenes faecalis et rel."
"Allistipes et rel.","Bacteroidetes","Bacteroidetes","Allistipes et rel."
"Anaerobiospirillum","Proteobacteria","Proteobacteria","Anaerobiospirillum"
"Anaerofustis","Firmicutes","Clostridium cluster XV","Anaerofustis"
"Anaerostipes caccae et rel.","Firmicutes","Clostridium cluster XIVa","Anaerostipes caccae et rel."
"Anaerotruncus colihominis et rel.","Firmicutes","Clostridium cluster IV","Anaerotruncus colihominis et rel."
"Anaerovorax odorimutans et rel.","Firmicutes","Clostridium cluster XI","Anaerovorax odorimutans et rel."
"Aneurinibacillus","Firmicutes","Bacilli","Aneurinibacillus"
"Aquabacterium","Proteobacteria","Proteobacteria","Aquabacterium"
"Asteroleplasma et rel.","Firmicutes","Asteroleplasma","Asteroleplasma et rel."
"Atopobium","Actinobacteria","Actinobacteria","Atopobium"
"Bacillus","Firmicutes","Bacilli","Bacillus"
"Bacteroides fragilis et rel.","Bacteroidetes","Bacteroidetes","Bacteroides fragilis et rel."
"Bacteroides intestinalis et rel.","Bacteroidetes","Bacteroidetes","Bacteroides intestinalis et rel."
"Bacteroides ovatus et rel.","Bacteroidetes","Bacteroidetes","Bacteroides ovatus et rel."
"Bacteroides plebeius et rel.","Bacteroidetes","Bacteroidetes","Bacteroides plebeius et rel."
"Bacteroides splachnicus et rel.","Bacteroidetes","Bacteroidetes","Bacteroides splachnicus et rel."
"Bacteroides stercoris et rel.","Bacteroidetes","Bacteroidetes","Bacteroides stercoris et rel."
"Bacteroides uniformis et rel.","Bacteroidetes","Bacteroidetes","Bacteroides uniformis et rel."
"Bacteroides vulgatus et rel.","Bacteroidetes","Bacteroidetes","Bacteroides vulgatus et rel."
"Bifidobacterium","Actinobacteria","Actinobacteria","Bifidobacterium"
"Bilophila et rel.","Proteobacteria","Proteobacteria","Bilophila et rel."
"Brachyspira","Spirochaetes","Spirochaetes","Brachyspira"
"Bryantella formatexigens et rel.","Firmicutes","Clostridium cluster XIVa","Bryantella formatexigens et rel."
"Bulleidia moorei et rel.","Firmicutes","Clostridium cluster XVI","Bulleidia moorei et rel."
"Burkholderia","Proteobacteria","Proteobacteria","Burkholderia"
"Butyrivibrio crossotus et rel.","Firmicutes","Clostridium cluster XIVa","Butyrivibrio crossotus et rel."
"Campylobacter","Proteobacteria","Proteobacteria","Campylobacter"
"Catenibacterium mitsuokai et rel.","Firmicutes","Clostridium cluster XVII","Catenibacterium mitsuokai et rel."
"Clostridium (sensu stricto)","Firmicutes","Clostridium cluster I","Clostridium (sensu stricto)"
"Clostridium cellulosi et rel.","Firmicutes","Clostridium cluster IV","Clostridium cellulosi et rel."
"Clostridium colinum et rel.","Firmicutes","Clostridium cluster XIVa","Clostridium colinum et rel."
"Clostridium difficile et rel.","Firmicutes","Clostridium cluster XI","Clostridium difficile et rel."
"Clostridium felsineum et rel.","Firmicutes","Clostridium cluster XI","Clostridium felsineum et rel."
"Clostridium leptum et rel.","Firmicutes","Clostridium cluster IV","Clostridium leptum et rel."
"Clostridium nexile et rel.","Firmicutes","Clostridium cluster XIVa","Clostridium nexile et rel."
"Clostridium orbiscindens et rel.","Firmicutes","Clostridium cluster IV","Clostridium orbiscindens et rel."
"Clostridium ramosum et rel.","Firmicutes","Clostridium cluster XVIII","Clostridium ramosum et rel."
"Clostridium sphenoides et rel.","Firmicutes","Clostridium cluster XIVa","Clostridium sphenoides et rel."
"Clostridium stercorarium et rel.","Firmicutes","Clostridium cluster III","Clostridium stercorarium et rel."
"Clostridium symbiosum et rel.","Firmicutes","Clostridium cluster XIVa","Clostridium symbiosum et rel."
"Clostridium thermocellum et rel.","Firmicutes","Clostridium cluster III","Clostridium thermocellum et rel."
"Collinsella","Actinobacteria","Actinobacteria","Collinsella"
"Coprobacillus catenaformis et rel.","Firmicutes","Clostridium cluster XVIII","Coprobacillus catenaformis et rel."
"Coprococcus eutactus et rel.","Firmicutes","Clostridium cluster XIVa","Coprococcus eutactus et rel."
"Corynebacterium","Actinobacteria","Actinobacteria","Corynebacterium"
"Desulfovibrio et rel.","Proteobacteria","Proteobacteria","Desulfovibrio et rel."
