	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy20	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10	Patients11	Patients12	Patients13	Patients14	Patients15	Patients16	Patients17	Patients18	Patients19	Patients20
Healthy01	0	0.231	0.272	0.216	0.307	0.196	0.25	0.269	0.327	0.236	0.202	0.179	0.295	0.25	0.251	0.25	0.283	0.272	0.261	0.227	0.556	0.464	0.36	0.337	0.36	0.518	0.449	0.905	0.753	0.68	0.31	0.801	0.473	0.378	0.659	0.341	0.717	0.413	0.404	0.312
Healthy02	0.231	0	0.339	0.196	0.35	0.221	0.284	0.33	0.403	0.333	0.234	0.221	0.394	0.311	0.35	0.325	0.317	0.352	0.352	0.288	0.573	0.538	0.452	0.399	0.451	0.581	0.472	0.886	0.779	0.713	0.383	0.827	0.551	0.347	0.668	0.453	0.725	0.43	0.515	0.376
Healthy03	0.272	0.339	0	0.26	0.185	0.219	0.213	0.193	0.201	0.205	0.195	0.196	0.173	0.245	0.2	0.153	0.141	0.136	0.153	0.193	0.579	0.469	0.328	0.317	0.363	0.572	0.452	0.894	0.798	0.712	0.367	0.84	0.569	0.397	0.692	0.331	0.731	0.286	0.414	0.242
Healthy04	0.216	0.196	0.26	0	0.313	0.151	0.237	0.288	0.355	0.277	0.175	0.198	0.324	0.281	0.27	0.272	0.276	0.286	0.282	0.235	0.575	0.493	0.414	0.393	0.413	0.584	0.487	0.907	0.799	0.71	0.322	0.838	0.563	0.443	0.696	0.413	0.727	0.369	0.482	0.358
Healthy05	0.307	0.35	0.185	0.313	0	0.275	0.291	0.238	0.217	0.255	0.218	0.233	0.199	0.287	0.246	0.2	0.169	0.207	0.171	0.242	0.54	0.469	0.316	0.309	0.371	0.536	0.406	0.87	0.792	0.705	0.395	0.827	0.538	0.371	0.667	0.31	0.723	0.254	0.408	0.223
Healthy06	0.196	0.221	0.219	0.151	0.275	0	0.22	0.227	0.299	0.196	0.143	0.127	0.266	0.264	0.239	0.223	0.253	0.235	0.242	0.189	0.578	0.48	0.381	0.368	0.422	0.588	0.47	0.904	0.809	0.705	0.366	0.825	0.574	0.431	0.691	0.359	0.747	0.367	0.452	0.311
Healthy07	0.25	0.284	0.213	0.237	0.291	0.22	0	0.228	0.321	0.248	0.179	0.203	0.266	0.282	0.259	0.229	0.229	0.231	0.255	0.184	0.548	0.458	0.327	0.333	0.364	0.55	0.422	0.895	0.795	0.687	0.307	0.824	0.528	0.407	0.663	0.339	0.743	0.34	0.429	0.282
Healthy08	0.269	0.33	0.193	0.288	0.238	0.227	0.228	0	0.273	0.223	0.209	0.209	0.236	0.306	0.242	0.208	0.243	0.214	0.223	0.229	0.576	0.474	0.332	0.295	0.365	0.485	0.367	0.911	0.8	0.707	0.336	0.829	0.544	0.383	0.597	0.347	0.743	0.34	0.419	0.286
Healthy09	0.327	0.403	0.201	0.355	0.217	0.299	0.321	0.273	0	0.273	0.273	0.265	0.193	0.327	0.261	0.222	0.22	0.233	0.195	0.288	0.57	0.486	0.347	0.333	0.402	0.588	0.471	0.911	0.8	0.714	0.434	0.827	0.567	0.412	0.696	0.323	0.746	0.329	0.36	0.278
Healthy10	0.236	0.333	0.205	0.277	0.255	0.196	0.248	0.223	0.273	0	0.196	0.194	0.216	0.235	0.222	0.163	0.217	0.215	0.204	0.203	0.568	0.48	0.369	0.336	0.364	0.559	0.434	0.906	0.787	0.697	0.373	0.808	0.506	0.414	0.69	0.342	0.73	0.33	0.433	0.279
Healthy11	0.202	0.234	0.195	0.175	0.218	0.143	0.179	0.209	0.273	0.196	0	0.122	0.244	0.239	0.239	0.196	0.193	0.213	0.219	0.163	0.563	0.477	0.352	0.348	0.396	0.568	0.456	0.898	0.812	0.71	0.342	0.833	0.557	0.41	0.687	0.353	0.734	0.33	0.443	0.27
Healthy12	0.179	0.221	0.196	0.198	0.233	0.127	0.203	0.209	0.265	0.194	0.122	0	0.252	0.239	0.221	0.196	0.192	0.21	0.212	0.167	0.556	0.469	0.343	0.338	0.376	0.582	0.441	0.893	0.78	0.705	0.35	0.805	0.553	0.379	0.684	0.327	0.723	0.324	0.433	0.274
Healthy13	0.295	0.394	0.173	0.324	0.199	0.266	0.266	0.236	0.193	0.216	0.244	0.252	0	0.307	0.225	0.163	0.186	0.182	0.147	0.242	0.547	0.443	0.29	0.284	0.311	0.522	0.389	0.891	0.789	0.69	0.401	0.82	0.494	0.381	0.669	0.297	0.734	0.279	0.357	0.229
Healthy14	0.25	0.311	0.245	0.281	0.287	0.264	0.282	0.306	0.327	0.235	0.239	0.239	0.307	0	0.241	0.229	0.226	0.258	0.272	0.24	0.561	0.482	0.418	0.37	0.411	0.578	0.473	0.899	0.68	0.677	0.414	0.799	0.503	0.335	0.698	0.403	0.675	0.334	0.5	0.279
Healthy15	0.251	0.35	0.2	0.27	0.246	0.239	0.259	0.242	0.261	0.222	0.239	0.221	0.225	0.241	0	0.199	0.193	0.214	0.213	0.239	0.554	0.432	0.348	0.307	0.336	0.534	0.422	0.909	0.769	0.686	0.342	0.797	0.492	0.397	0.676	0.301	0.688	0.337	0.434	0.278
Healthy16	0.25	0.325	0.153	0.272	0.2	0.223	0.229	0.208	0.222	0.163	0.196	0.196	0.163	0.229	0.199	0	0.158	0.141	0.156	0.201	0.543	0.46	0.307	0.289	0.345	0.535	0.391	0.891	0.787	0.697	0.363	0.807	0.508	0.391	0.675	0.325	0.731	0.306	0.38	0.25
Healthy17	0.283	0.317	0.141	0.276	0.169	0.253	0.229	0.243	0.22	0.217	0.193	0.192	0.186	0.226	0.193	0.158	0	0.161	0.156	0.205	0.552	0.469	0.336	0.327	0.359	0.574	0.423	0.881	0.783	0.718	0.373	0.82	0.544	0.366	0.686	0.331	0.712	0.259	0.422	0.254
Healthy18	0.272	0.352	0.136	0.286	0.207	0.235	0.231	0.214	0.233	0.215	0.213	0.21	0.182	0.258	0.214	0.141	0.161	0	0.152	0.202	0.563	0.479	0.335	0.311	0.371	0.575	0.448	0.886	0.794	0.703	0.375	0.819	0.566	0.398	0.676	0.337	0.74	0.302	0.411	0.264
Healthy19	0.261	0.352	0.153	0.282	0.171	0.242	0.255	0.223	0.195	0.204	0.219	0.212	0.147	0.272	0.213	0.156	0.156	0.152	0	0.216	0.553	0.462	0.319	0.286	0.331	0.562	0.42	0.893	0.78	0.71	0.383	0.816	0.52	0.378	0.69	0.308	0.726	0.28	0.397	0.235
Healthy20	0.227	0.288	0.193	0.235	0.242	0.189	0.184	0.229	0.288	0.203	0.163	0.167	0.242	0.24	0.239	0.201	0.205	0.202	0.216	0	0.552	0.47	0.352	0.359	0.382	0.505	0.443	0.886	0.803	0.689	0.349	0.816	0.551	0.389	0.675	0.353	0.669	0.335	0.441	0.247
Patients01	0.556	0.573	0.579	0.575	0.54	0.578	0.548	0.576	0.57	0.568	0.563	0.556	0.547	0.561	0.554	0.543	0.552	0.563	0.553	0.552	0	0.585	0.531	0.545	0.557	0.62	0.547	0.915	0.818	0.621	0.58	0.803	0.581	0.534	0.675	0.533	0.766	0.552	0.569	0.527
Patients02	0.464	0.538	0.469	0.493	0.469	0.48	0.458	0.474	0.486	0.48	0.477	0.469	0.443	0.482	0.432	0.46	0.469	0.479	0.462	0.47	0.585	0	0.395	0.42	0.387	0.446	0.298	0.916	0.643	0.661	0.472	0.672	0.374	0.451	0.666	0.344	0.766	0.395	0.406	0.449
Patients03	0.36	0.452	0.328	0.414	0.316	0.381	0.327	0.332	0.347	0.369	0.352	0.343	0.29	0.418	0.348	0.307	0.336	0.335	0.319	0.352	0.531	0.395	0	0.286	0.292	0.439	0.37	0.893	0.792	0.686	0.422	0.8	0.447	0.392	0.647	0.247	0.781	0.344	0.319	0.293
Patients04	0.337	0.399	0.317	0.393	0.309	0.368	0.333	0.295	0.333	0.336	0.348	0.338	0.284	0.37	0.307	0.289	0.327	0.311	0.286	0.359	0.545	0.42	0.286	0	0.301	0.444	0.345	0.898	0.765	0.702	0.434	0.81	0.445	0.365	0.636	0.254	0.757	0.348	0.349	0.264
Patients05	0.36	0.451	0.363	0.413	0.371	0.422	0.364	0.365	0.402	0.364	0.396	0.376	0.311	0.411	0.336	0.345	0.359	0.371	0.331	0.382	0.557	0.387	0.292	0.301	0	0.413	0.37	0.9	0.758	0.682	0.359	0.762	0.365	0.377	0.639	0.275	0.732	0.377	0.367	0.328
Patients06	0.518	0.581	0.572	0.584	0.536	0.588	0.55	0.485	0.588	0.559	0.568	0.582	0.522	0.578	0.534	0.535	0.574	0.575	0.562	0.505	0.62	0.446	0.439	0.444	0.413	0	0.392	0.917	0.811	0.683	0.425	0.735	0.446	0.518	0.592	0.409	0.627	0.588	0.457	0.489
Patients07	0.449	0.472	0.452	0.487	0.406	0.47	0.422	0.367	0.471	0.434	0.456	0.441	0.389	0.473	0.422	0.391	0.423	0.448	0.42	0.443	0.547	0.298	0.37	0.345	0.37	0.392	0	0.898	0.751	0.641	0.489	0.629	0.323	0.396	0.571	0.349	0.757	0.404	0.418	0.396
Patients08	0.905	0.886	0.894	0.907	0.87	0.904	0.895	0.911	0.911	0.906	0.898	0.893	0.891	0.899	0.909	0.891	0.881	0.886	0.893	0.886	0.915	0.916	0.893	0.898	0.9	0.917	0.898	0	0.94	0.925	0.915	0.938	0.912	0.893	0.916	0.91	0.929	0.867	0.91	0.891
Patients09	0.753	0.779	0.798	0.799	0.792	0.809	0.795	0.8	0.8	0.787	0.812	0.78	0.789	0.68	0.769	0.787	0.783	0.794	0.78	0.803	0.818	0.643	0.792	0.765	0.758	0.811	0.751	0.94	0	0.764	0.801	0.867	0.665	0.687	0.859	0.774	0.83	0.694	0.808	0.757
Patients10	0.68	0.713	0.712	0.71	0.705	0.705	0.687	0.707	0.714	0.697	0.71	0.705	0.69	0.677	0.686	0.697	0.718	0.703	0.71	0.689	0.621	0.661	0.686	0.702	0.682	0.683	0.641	0.925	0.764	0	0.673	0.815	0.69	0.683	0.724	0.676	0.802	0.665	0.687	0.697
Patients11	0.31	0.383	0.367	0.322	0.395	0.366	0.307	0.336	0.434	0.373	0.342	0.35	0.401	0.414	0.342	0.363	0.373	0.375	0.383	0.349	0.58	0.472	0.422	0.434	0.359	0.425	0.489	0.915	0.801	0.673	0	0.787	0.506	0.482	0.64	0.373	0.713	0.463	0.46	0.439
Patients12	0.801	0.827	0.84	0.838	0.827	0.825	0.824	0.829	0.827	0.808	0.833	0.805	0.82	0.799	0.797	0.807	0.82	0.819	0.816	0.816	0.803	0.672	0.8	0.81	0.762	0.735	0.629	0.938	0.867	0.815	0.787	0	0.649	0.788	0.812	0.742	0.846	0.828	0.813	0.808
Patients13	0.473	0.551	0.569	0.563	0.538	0.574	0.528	0.544	0.567	0.506	0.557	0.553	0.494	0.503	0.492	0.508	0.544	0.566	0.52	0.551	0.581	0.374	0.447	0.445	0.365	0.446	0.323	0.912	0.665	0.69	0.506	0.649	0	0.441	0.651	0.409	0.758	0.56	0.47	0.477
Patients14	0.378	0.347	0.397	0.443	0.371	0.431	0.407	0.383	0.412	0.414	0.41	0.379	0.381	0.335	0.397	0.391	0.366	0.398	0.378	0.389	0.534	0.451	0.392	0.365	0.377	0.518	0.396	0.893	0.687	0.683	0.482	0.788	0.441	0	0.611	0.384	0.741	0.389	0.478	0.362
Patients15	0.659	0.668	0.692	0.696	0.667	0.691	0.663	0.597	0.696	0.69	0.687	0.684	0.669	0.698	0.676	0.675	0.686	0.676	0.69	0.675	0.675	0.666	0.647	0.636	0.639	0.592	0.571	0.916	0.859	0.724	0.64	0.812	0.651	0.611	0	0.647	0.8	0.703	0.669	0.681
Patients16	0.341	0.453	0.331	0.413	0.31	0.359	0.339	0.347	0.323	0.342	0.353	0.327	0.297	0.403	0.301	0.325	0.331	0.337	0.308	0.353	0.533	0.344	0.247	0.254	0.275	0.409	0.349	0.91	0.774	0.676	0.373	0.742	0.409	0.384	0.647	0	0.745	0.373	0.349	0.266
Patients17	0.717	0.725	0.731	0.727	0.723	0.747	0.743	0.743	0.746	0.73	0.734	0.723	0.734	0.675	0.688	0.731	0.712	0.74	0.726	0.669	0.766	0.766	0.781	0.757	0.732	0.627	0.757	0.929	0.83	0.802	0.713	0.846	0.758	0.741	0.8	0.745	0	0.75	0.78	0.69
Patients18	0.413	0.43	0.286	0.369	0.254	0.367	0.34	0.34	0.329	0.33	0.33	0.324	0.279	0.334	0.337	0.306	0.259	0.302	0.28	0.335	0.552	0.395	0.344	0.348	0.377	0.588	0.404	0.867	0.694	0.665	0.463	0.828	0.56	0.389	0.703	0.373	0.75	0	0.419	0.278
Patients19	0.404	0.515	0.414	0.482	0.408	0.452	0.429	0.419	0.36	0.433	0.443	0.433	0.357	0.5	0.434	0.38	0.422	0.411	0.397	0.441	0.569	0.406	0.319	0.349	0.367	0.457	0.418	0.91	0.808	0.687	0.46	0.813	0.47	0.478	0.669	0.349	0.78	0.419	0	0.371
Patients20	0.312	0.376	0.242	0.358	0.223	0.311	0.282	0.286	0.278	0.279	0.27	0.274	0.229	0.279	0.278	0.25	0.254	0.264	0.235	0.247	0.527	0.449	0.293	0.264	0.328	0.489	0.396	0.891	0.757	0.697	0.439	0.808	0.477	0.362	0.681	0.266	0.69	0.278	0.371	0
