ID	CHR	BP	P	tissue	BPcum	disease
ANGPTL3	1	63063191	0.96604	Plasma	63063191	Urate
MCL1	1	150533371	0.142402	Plasma	150533371	Urate
MXRA8	1	1288069	0.83801	Plasma	1288069	Urate
PGLYRP3	1	153269592	0.017556	Plasma	153269592	Urate
CD58	1	117057156	0.309801	Plasma	117057156	Urate
REG4	1	120336640	0.719342	Plasma	120336640	Urate
CHI3L1	1	203148059	0.384295	Plasma	203148059	Urate
ANGPTL1	1	178818670	0.087876	Plasma	178818670	Urate
TINAGL1	1	32042086	0.970205	Plasma	32042086	Urate
TBCE	1	235491885	0.154102	Plasma	235491885	Urate
TNR	1	175284330	0.914612	Plasma	175284330	Urate
CREB3L4	1	153940010	0.513613	Plasma	153940010	Urate
AK2	1	33473541	0.482019	Plasma	33473541	Urate
TAGLN2	1	159887897	0.447002	Plasma	159887897	Urate
CRABP2	1	156669398	0.474663	Plasma	156669398	Urate
RNPEP	1	201951500	0.413851	Plasma	201951500	Urate
DARS2	1	173793791	0.121353	Plasma	173793791	Urate
CACYBP	1	174968300	0.992246	Plasma	174968300	Urate
PPIH	1	43124006	0.292797	Plasma	43124006	Urate
GLRX2	1	193059996	0.177777	Plasma	193059996	Urate
INPP5B	1	38326369	0.35111	Plasma	38326369	Urate
AHCYL1	1	110527387	0.448483	Plasma	110527387	Urate
NEK7	1	198126124	0.278545	Plasma	198126124	Urate
PTGFRN	1	117452538	0.54648	Plasma	117452538	Urate
S100A6	1	153507075	0.078841	Plasma	153507075	Urate
NEGR1	1	71861626	0.006837	Plasma	71861626	Urate
FH	1	241660811	0.366552	Plasma	241660811	Urate
MAN1C1	1	25943282	0.861494	Plasma	25943282	Urate
NADK	1	1682671	0.44637	Plasma	1682671	Urate
SPSB1	1	9352953	0.246356	Plasma	9352953	Urate
KPNA6	1	32573657	0.283256	Plasma	32573657	Urate
CRYZ	1	75171166	0.395934	Plasma	75171166	Urate
C1QC	1	22970126	0.80149	Plasma	22970126	Urate
S100A4	1	153516089	0.647575	Plasma	153516089	Urate
ISG15	1	936518	0.098726	Plasma	936518	Urate
RBP7	1	10057264	0.805926	Plasma	10057264	Urate
CAPN2	1	223889295	0.789708	Plasma	223889295	Urate
CLIC4	1	25071873	0.241042	Plasma	25071873	Urate
AGO3	1	36396319	0.704011	Plasma	36396319	Urate
GBP1	1	89517565	0.012522	Plasma	89517565	Urate
BOLA1	1	149859440	0.263997	Plasma	149859440	Urate
FCGR3A	1	161511549	0.18202	Plasma	161511549	Urate
GSTM1	1	110230436	0.001732	Plasma	110230436	Urate
CFHR1	1	196788861	0.891219	Plasma	196788861	Urate
LEFTY2	1	226124298	0.066774	Plasma	226124298	Urate
LEFTY2	1	226124298	0.036708	Plasma	226124298	Urate
CLSTN1	1	9788984	0.267883	Plasma	9788984	Urate
AMY2B	1	104096437	0.353538	Plasma	104096437	Urate
CR2	1	207627575	0.854348	Plasma	207627575	Urate
FCRLB	1	161691353	0.309751	Plasma	161691353	Urate
CFHR2	1	196912868	0.086	Plasma	196912868	Urate
IL6R	1	154377669	0.696645	Plasma	154377669	Urate
XCL2	1	168510006	0.611917	Plasma	168510006	Urate
HSPG2	1	22148737	0.477178	Plasma	22148737	Urate
CFHR5	1	196946686	0.720223	Plasma	196946686	Urate
MYOC	1	171604557	0.821952	Plasma	171604557	Urate
RSPO1	1	38076951	0.817103	Plasma	38076951	Urate
APOA1BP	1	156561548	0.966432	Plasma	156561548	Urate
HDGF	1	156711901	0.120288	Plasma	156711901	Urate
SEMA4A	1	156117157	0.76797	Plasma	156117157	Urate
DDOST	1	20978260	0.129519	Plasma	20978260	Urate
GUK1	1	228327663	0.91978	Plasma	228327663	Urate
ADPRHL2	1	36554493	0.133016	Plasma	36554493	Urate
SH3BGRL3	1	26606577	0.74116	Plasma	26606577	Urate
CD46	1	207925399	0.022201	Plasma	207925399	Urate
RHOC	1	113243749	0.697089	Plasma	113243749	Urate
BPNT1	1	220230824	0.866983	Plasma	220230824	Urate
S100A16	1	153579362	0.558577	Plasma	153579362	Urate
PPCS	1	42921788	0.96786	Plasma	42921788	Urate
AKR7A3	1	19609067	0.891424	Plasma	19609067	Urate
LDLRAP1	1	25870097	0.038418	Plasma	25870097	Urate
GCLM	1	94350755	0.282337	Plasma	94350755	Urate
PSMB4	1	151372036	0.907203	Plasma	151372036	Urate
ITLN1	1	160846330	0.044825	Plasma	160846330	Urate
DNAJB4	1	78444859	0.3601	Plasma	78444859	Urate
GBP2	1	89571815	0.103916	Plasma	89571815	Urate
GSTM4	1	110198721	0.001442	Plasma	110198721	Urate
AMY2A	1	104160049	0.758768	Plasma	104160049	Urate
GLUL	1	182347233	0.371278	Plasma	182347233	Urate
TSTD1	1	161007421	0.353539	Plasma	161007421	Urate
UROD	1	45476622	0.822287	Plasma	45476622	Urate
TXNDC12	1	52485803	0.733855	Plasma	52485803	Urate
DDAH1	1	85784164	0.42306	Plasma	85784164	Urate
PARK7	1	8014351	0.242458	Plasma	8014351	Urate
APCS	1	159557616	0.116111	Plasma	159557616	Urate
ROR1	1	64239688	0.172516	Plasma	64239688	Urate
EFNA4	1	155036213	0.007505	Plasma	155036213	Urate
PLA2G2A	1	20301924	0.505983	Plasma	20301924	Urate
TIE1	1	43766653	0.000489	Plasma	43766653	Urate
TGFBR3	1	92145900	0.812327	Plasma	92145900	Urate
TNFRSF1B	1	12227048	0.35725	Plasma	12227048	Urate
CTSS	1	150702555	0.003844	Plasma	150702555	Urate
NID1	1	236139130	0.849989	Plasma	236139130	Urate
PIGR	1	207101867	0.044866	Plasma	207101867	Urate
CD48	1	160648536	0.352728	Plasma	160648536	Urate
CD5L	1	157800701	0.86692	Plasma	157800701	Urate
CNTN2	1	205012065	0.136563	Plasma	205012065	Urate
FCGR2A	1	161475220	0.667415	Plasma	161475220	Urate
FCGR2B	1	161632937	0.330605	Plasma	161632937	Urate
LRP8	1	53708036	0.210303	Plasma	53708036	Urate
LY9	1	160765864	0.736071	Plasma	160765864	Urate
CA6	1	9005926	0.077803	Plasma	9005926	Urate
ECM1	1	150480538	0.001393	Plasma	150480538	Urate
REN	1	204123947	0.442944	Plasma	204123947	Urate
BCAN	1	156611182	0.578309	Plasma	156611182	Urate
CHIT1	1	203181955	0.744288	Plasma	203181955	Urate
MAPKAPK2	1	206858250	0.623056	Plasma	206858250	Urate
PRDX1	1	45976586	0.099689	Plasma	45976586	Urate
PGD	1	10458649	0.099308	Plasma	10458649	Urate
AKR7A2	1	19630459	0.756118	Plasma	19630459	Urate
AKR1A1	1	46016215	0.089622	Plasma	46016215	Urate
CRP	1	159682079	0.031296	Plasma	159682079	Urate
FCRL3	1	157644111	0.353032	Plasma	157644111	Urate
SELL	1	169659806	0.740606	Plasma	169659806	Urate
EPHA2	1	16450832	0.002629	Plasma	16450832	Urate
F5	1	169481189	0.056198	Plasma	169481189	Urate
DPT	1	168664706	0.809836	Plasma	168664706	Urate
PRDX6	1	173446469	0.063085	Plasma	173446469	Urate
CD55	1	207494877	0.554614	Plasma	207494877	Urate
EPHA10	1	38179552	0.678331	Plasma	38179552	Urate
IL23R	1	67604590	0.579539	Plasma	67604590	Urate
SLAMF6	1	160454820	0.611648	Plasma	160454820	Urate
PCSK9	1	55505120	0.042392	Plasma	55505120	Urate
PPIE	1	40157854	0.848888	Plasma	40157854	Urate
SHC1	1	154934774	0.042584	Plasma	154934774	Urate
LEPR	1	65886335	0.044925	Plasma	65886335	Urate
FCN3	1	27695601	0.365458	Plasma	27695601	Urate
SLAMF7	1	160708847	0.578426	Plasma	160708847	Urate
GREM2	1	240652873	0.158623	Plasma	240652873	Urate
NTNG1	1	107682629	0.24766	Plasma	107682629	Urate
F13B	1	197007871	0.465442	Plasma	197007871	Urate
FCRL1	1	157764193	0.195446	Plasma	157764193	Urate
ACP6	1	147101453	0.00707	Plasma	147101453	Urate
MENT	1	151020227	0.804037	Plasma	151020227	Urate
S100A12	1	153346187	0.198792	Plasma	153346187	Urate
GUCA2B	1	42619081	0.771966	Plasma	42619081	Urate
FMOD	1	203309756	0.305554	Plasma	203309756	Urate
VWA1	1	1370241	0.511806	Plasma	1370241	Urate
CFHR4	1	196857144	0.20598	Plasma	196857144	Urate
FAIM3	1	207076662	0.315683	Plasma	207076662	Urate
FCRL6	1	159770301	0.933743	Plasma	159770301	Urate
IGSF8	1	160061130	0.664828	Plasma	160061130	Urate
NEGR1	1	71861626	0.004369	Plasma	71861626	Urate
H6PD	1	9294833	0.101932	Plasma	9294833	Urate
IFNLR1	1	24480658	0.124736	Plasma	24480658	Urate
FAM20B	1	178994939	0.906772	Plasma	178994939	Urate
NPPB	1	11917521	0.798004	Plasma	11917521	Urate
FAM151A	1	55074854	0.310483	Plasma	55074854	Urate
S100A7	1	153430220	0.017873	Plasma	153430220	Urate
EPHB2	1	23037332	0.79485	Plasma	23037332	Urate
PEAR1	1	156863490	0.533857	Plasma	156863490	Urate
PEX14	1	10532345	0.057849	Plasma	10532345	Urate
PTPRU	1	29563028	0.258088	Plasma	29563028	Urate
GPX7	1	53068043	0.818224	Plasma	53068043	Urate
TNFRSF1B	1	12227048	0.60156	Plasma	12227048	Urate
HDGF	1	156711901	0.10804	Plasma	156711901	Urate
FCRL4	1	157543537	0.548202	Plasma	157543537	Urate
MAN1A2	1	117910071	0.993741	Plasma	117910071	Urate
TAGLN2	1	159887897	0.278164	Plasma	159887897	Urate
PPT1	1	40538382	0.470681	Plasma	40538382	Urate
MFAP2	1	17300997	0.017649	Plasma	17300997	Urate
CREG1	1	167498354	0.55318	Plasma	167498354	Urate
C4BPA	1	207277578	0.40886	Plasma	207277578	Urate
LAMC2	1	183155373	0.003817	Plasma	183155373	Urate
B4GALT2	1	44444615	0.500212	Plasma	44444615	Urate
IGSF3	1	117117021	0.005303	Plasma	117117021	Urate
GSTM3	1	110276554	0.005258	Plasma	110276554	Urate
AGRN	1	955500	0.703533	Plasma	955500	Urate
CMPK1	1	47799462	0.13101	Plasma	47799462	Urate
AMPD2	1	110158726	0.038903	Plasma	110158726	Urate
CR1	1	207669492	0.789821	Plasma	207669492	Urate
FCGR3B	1	161592986	0.079373	Plasma	161592986	Urate
AGT	1	230826522	0.406585	Plasma	230826522	Urate
SELP	1	169558087	0.776531	Plasma	169558087	Urate
CFH	1	196621173	0.801165	Plasma	196621173	Urate
NFASC	1	204797779	0.158765	Plasma	204797779	Urate
AMY1A	1	104198382	0.706987	Plasma	104198382	Urate
SFTPB	2	85884437	0.98	Plasma	335115217	Urate
GALNT13	2	154728435	0.681	Plasma	403959215	Urate
PLA2R1	2	160788517	0.972	Plasma	410019297	Urate
COL6A3	2	238232646	0.0102	Plasma	487463426	Urate
FABP1	2	88422501	0.405	Plasma	337653281	Urate
FKBP1B	2	24272571	0.233	Plasma	273503351	Urate
AGFG1	2	228336868	0.612	Plasma	477567648	Urate
HIBCH	2	191054461	0.285	Plasma	440285241	Urate
VPS24	2	86730553	0.0053	Plasma	335961333	Urate
GCA	2	163175350	0.474	Plasma	412406130	Urate
DARS	2	136663451	0.00262	Plasma	385894231	Urate
ACYP2	2	54197975	0.748	Plasma	303428755	Urate
