sample	group1	group2	group3	value
sample01	g1	A	G1	50
sample02	g1	A	G1	99
sample03	g1	A	G1	96
sample04	g1	A	G1	72
sample05	g1	A	G1	97
sample06	g1	A	G1	90
sample07	g1	A	G1	56
sample08	g1	A	G1	93
sample09	g1	A	G1	69
sample10	g1	A	G1	82
sample11	g2	A	G1	51
sample12	g2	A	G1	69
sample13	g2	A	G1	80
sample14	g2	A	G1	79
sample15	g2	A	G1	84
sample16	g2	A	G1	58
sample17	g2	A	G1	63
sample18	g2	A	G1	98
sample19	g2	A	G1	73
sample20	g2	A	G1	92
sample21	g3	B	G1	13
sample22	g3	B	G1	25
sample23	g3	B	G1	19
sample24	g3	B	G1	48
sample25	g3	B	G1	18
sample26	g3	B	G1	26
sample27	g3	B	G1	10
sample28	g3	B	G1	50
sample29	g3	B	G1	11
sample30	g3	B	G1	43
sample31	g4	C	G2	22
sample32	g4	C	G2	28
sample33	g4	C	G2	19
sample34	g4	C	G2	30
sample35	g4	C	G2	49
sample36	g4	C	G2	44
sample37	g4	C	G2	12
sample38	g4	C	G2	26
sample39	g4	C	G2	26
sample40	g4	C	G2	47
sample41	g4	C	G2	23
sample42	g4	C	G2	26
sample43	g4	C	G2	22
sample44	g4	C	G2	30
sample45	g4	C	G2	15
sample46	g4	C	G2	22
sample47	g5	C	G2	51
sample48	g5	C	G2	68
sample49	g5	C	G2	51
sample50	g5	C	G2	50
sample51	g5	C	G2	84
sample52	g5	C	G2	60
sample53	g5	C	G2	86
sample54	g5	C	G2	75
sample55	g5	C	G2	75
sample56	g5	C	G2	82
sample57	g5	C	G2	63
