ID	sample	Group
Healthy01	Healthy01	Control
Healthy02	Healthy02	Control
Healthy03	Healthy03	Control
Healthy04	Healthy04	Control
Healthy05	Healthy05	Control
Healthy06	Healthy06	Control
Healthy07	Healthy07	Control
Healthy08	Healthy08	Control
Healthy09	Healthy09	Control
Healthy10	Healthy10	Control
Patients01	Patients01	NPC
Patients02	Patients02	NPC
Patients03	Patients03	NPC
Patients04	Patients04	NPC
Patients05	Patients05	NPC
Patients06	Patients06	NPC
Patients07	Patients07	NPC
Patients08	Patients08	NPC
Patients09	Patients09	NPC
Patients10	Patients10	NPC
