,Healthy01,Healthy02,Healthy03,Healthy04,Healthy05,Healthy06,Healthy07,Healthy08,Healthy09,Healthy10,Patients01,Patients02,Patients03,Patients04,Patients05,Patients06,Patients07,Patients08,Patients09,Patients10
Species1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species2,0,0,0,0,0,0,0,0,0,0,0,0,0.00458,0,0,0,0,0.00673,0.01102,0
Species3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636
Species5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02492
Species6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97828
Species13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species21,0,0,0,0,0,0,0,0,0,0,0,0,0.00705,0,0,0,0,0,0,0
Species22,0,0,0,0,0.00045,0,0,0,0,0,0.01992,0,0,0,0,0.05237,0,0.05002,0,0
Species23,0,0,0,0,0,0,0,0,0,0,0,0,0.00349,0,0,0,0.00054,0.00973,0.04552,0
Species24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01959,0
Species25,0,0,0,0,0.00074,0,0,0,0,0,0,0.00121,0,0,0,0.01034,0,0.0914,0.05367,0
Species26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00865,0
Species28,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0.06499,0
Species29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species30,0,0,0,0,0,0,0,0,0,0,0,0,0.00047,0,0,0,0,0.01394,0.04045,0.00415
Species31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05536,0.03456,0
Species32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0
Species33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01861,0.07219,0
Species34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03257,0.04998,0
Species35,0,0,0,0.01719,0,0,0,0,0,0,0,0.03749,0,0,0,0.03945,0,0.34767,0.04554,0
Species36,0,0,0,0,0.0111,0,0,0,0,0,0,0,0,0,0,0.00471,0,0,0,0
Species37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04833,0
Species38,0,0,0.00475,0.01827,0,0,0,0,0.00593,0,0.00087,0.03955,0.04348,0,0,0.01409,0.00024,0.23968,0.41167,0
Species39,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.02594,0,0.20998,0.16231,0
Species40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-04,0
Species41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species42,0,0,0,0,0,0,0,0,0,0,0,0,0.00251,0,0,0,0,0,0.04699,0
Species43,0,0,0,0,0,0,0,0,0,0,0,0,0.03635,0,0,0,0,0,0.0014,0
Species44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288,0,0
Species45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species47,0,0.02984,0,0,0.07151,0,0.00333,0,0,0,0,0,0.71798,0,0,0.18834,0,0,0,0
Species48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species54,0.01833,0.04529,0,0.65738,0.12145,0.2411,0,0.07493,0.2016,0.28328,0.02268,0.37749,0.78025,0.13194,0,0.27443,0.11072,3.46309,0.21449,0
Species55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Species56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
