cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	X12;X13	Y12;Y13	1.2567120809513244e-12
2	X14;X15	Y14;Y15	1.3331224180115239e-11
3	X9;X10;X11	Y9;Y10;Y11	4.025783938784645e-10
4	X0;X1;X2	Y0	7.360629458577536e-09
5	X6	Y6	5.580991792016541e-06
6	X3	Y3	1.5637124978622357e-05
7	X3;X4;X5	Y4;Y5	1.601935000755317e-05
8	X6;X7;X8	Y7	1.879154176502828e-05
9	X0;X1;X2	Y1	3.229563260817097e-05
10	X8	Y8	0.00044616349146898895
11	X2	Y2	0.0006213586345147157
12	X14;X15	Y6	0.002468944332992917
13	X4	Y3	0.003754984672983486
14	X6	Y3	0.035578246404989286
15	X7	Y6	0.03922861489400263
