OTU	Kingdom	Phylum	Class	Order	Family	Genus	group
ASV_1	Bacteria	Actinobacteria	Actinobacteria	Cryptosporangiales	Cryptosporangiaceae	Fodinicola	Actinobacteria
ASV_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Proteobacteria
ASV_3	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinobacteria
ASV_51	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	Actinobacteria
ASV_20	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Actinobacteria
ASV_50	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha	Actinobacteria
ASV_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Proteobacteria
ASV_340	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Unassigned	Actinobacteria
ASV_12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Roseiarcaceae	Roseiarcus	Proteobacteria
ASV_7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Proteobacteria
ASV_40	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Unassigned	Actinobacteria
ASV_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Proteobacteria
ASV_8	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	Actinobacteria
ASV_13	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Actinobacteria
ASV_9	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Unassigned	Acidobacteria
ASV_14	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	Actinobacteria
ASV_11	Bacteria	Acidobacteria	Acidobacteria_Gp2	Unassigned	Unassigned	Gp2	Acidobacteria
ASV_10	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Actinobacteria
ASV_97	Bacteria	Actinobacteria	Actinobacteria	Cryptosporangiales	Cryptosporangiaceae	Fodinicola	Actinobacteria
