label	variable	value
S1	group1	290
S2	group1	634
S3	group1	784
S4	group1	56
S5	group1	630
S6	group1	619
S7	group1	571
S8	group1	609
S9	group1	870
S10	group1	718
S11	group1	957
S12	group1	377
S13	group1	795
S14	group1	823
S15	group1	715
S16	group1	887
S17	group1	308
S18	group1	20
S19	group1	127
S20	group1	377
A1	group2	597
A2	group2	556
A3	group2	935
A4	group2	93
A5	group2	181
A6	group2	16
A7	group2	514
A8	group2	884
A9	group2	339
A10	group2	16
A11	group2	945
A12	group2	19
A13	group2	814
A14	group2	300
A15	group2	499
A16	group2	420
A17	group2	732
A18	group2	813
A19	group2	174
A20	group2	186
