Species	Pathways	values	values2	Group
Unclassified	RIBOSYN2-PWY	0.2	20	Metagenome
Unclassified	RHAMCAT-PWY	0.22	22	Metagenome
Unclassified	PYRIDOXSYN-PWY	0	0	Metagenome
Unclassified	PWY-7539	0.23	23	Metagenome
Unclassified	PWY-7228	0.25	25	Metagenome
Unclassified	PWY-5367	0	0	Metagenome
Unclassified	PWY-5104	0.77	77	Metagenome
Unclassified	PWY-4242	0.235	23.5	Metagenome
Escherichia coli	RIBOSYN2-PWY	0.33	33	Metagenome
Escherichia coli	RHAMCAT-PWY	0	0	Metagenome
Escherichia coli	PYRIDOXSYN-PWY	0	0	Metagenome
Escherichia coli	PWY-7539	0.07	7	Metagenome
Escherichia coli	PWY-7228	0	0	Metagenome
Escherichia coli	PWY-5367	0	0	Metagenome
Escherichia coli	PWY-5104	0	0	Metagenome
Escherichia coli	PWY-4242	0	0	Metagenome
Faecalibacterium prausnitzii	RIBOSYN2-PWY	0	0	Metagenome
Faecalibacterium prausnitzii	RHAMCAT-PWY	0.14	14	Metagenome
Faecalibacterium prausnitzii	PYRIDOXSYN-PWY	0	0	Metagenome
Faecalibacterium prausnitzii	PWY-7539	0	0	Metagenome
Faecalibacterium prausnitzii	PWY-7228	0	0	Metagenome
Faecalibacterium prausnitzii	PWY-5367	0	0	Metagenome
Faecalibacterium prausnitzii	PWY-5104	0	0	Metagenome
Faecalibacterium prausnitzii	PWY-4242	0.18	18	Metagenome
Bacteroides thetaiotaomicron	RIBOSYN2-PWY	0	0	Metagenome
Bacteroides thetaiotaomicron	RHAMCAT-PWY	0.05	5	Metagenome
Bacteroides thetaiotaomicron	PYRIDOXSYN-PWY	0	0	Metagenome
Bacteroides thetaiotaomicron	PWY-7539	0	0	Metagenome
Bacteroides thetaiotaomicron	PWY-7228	0	0	Metagenome
Bacteroides thetaiotaomicron	PWY-5367	0	0	Metagenome
Bacteroides thetaiotaomicron	PWY-5104	0	0	Metagenome
Bacteroides thetaiotaomicron	PWY-4242	0	0	Metagenome
Bacteroides ovatus	RIBOSYN2-PWY	0	0	Metagenome
Bacteroides ovatus	RHAMCAT-PWY	0.15	15	Metagenome
Bacteroides ovatus	PYRIDOXSYN-PWY	0.1	10	Metagenome
Bacteroides ovatus	PWY-7539	0.36	36	Metagenome
Bacteroides ovatus	PWY-7228	0	0	Metagenome
Bacteroides ovatus	PWY-5367	0	0	Metagenome
Bacteroides ovatus	PWY-5104	0	0	Metagenome
Bacteroides ovatus	PWY-4242	0.1	10	Metagenome
Bacteroides caccae	RIBOSYN2-PWY	0	0	Metagenome
Bacteroides caccae	RHAMCAT-PWY	0.08	8	Metagenome
Bacteroides caccae	PYRIDOXSYN-PWY	0.08	8	Metagenome
Bacteroides caccae	PWY-7539	0	0	Metagenome
Bacteroides caccae	PWY-7228	0	0	Metagenome
Bacteroides caccae	PWY-5367	0.03	3	Metagenome
Bacteroides caccae	PWY-5104	0	0	Metagenome
Bacteroides caccae	PWY-4242	0	0	Metagenome
Bacteroides uniformis	RIBOSYN2-PWY	0	0	Metagenome
Bacteroides uniformis	RHAMCAT-PWY	0	0	Metagenome
Bacteroides uniformis	PYRIDOXSYN-PWY	0.38	38	Metagenome
Bacteroides uniformis	PWY-7539	0	0	Metagenome
Bacteroides uniformis	PWY-7228	0	0	Metagenome
Bacteroides uniformis	PWY-5367	0.01	1	Metagenome
Bacteroides uniformis	PWY-5104	0	0	Metagenome
Bacteroides uniformis	PWY-4242	0	0	Metagenome
Bacteroides stercoris	RIBOSYN2-PWY	0	0	Metagenome
Bacteroides stercoris	RHAMCAT-PWY	0	0	Metagenome
Bacteroides stercoris	PYRIDOXSYN-PWY	0.13	13	Metagenome
Bacteroides stercoris	PWY-7539	0	0	Metagenome
Bacteroides stercoris	PWY-7228	0	0	Metagenome
Bacteroides stercoris	PWY-5367	0	0	Metagenome
Bacteroides stercoris	PWY-5104	0	0	Metagenome
