bray_curtis_binary	KO1	OE1	OE6	OE2	OE5	OE3	WT3	OE4	WT6	WT4	KO2	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	0.135	0.128	0.137	0.142	0.148	0.136	0.143	0.136	0.157	0.144	0.162	0.175	0.168	0.187	0.198	0.216	0.234
OE1	0.135	0	0.0958	0.106	0.112	0.121	0.117	0.125	0.129	0.136	0.144	0.144	0.166	0.172	0.173	0.200	0.221	0.246
OE6	0.128	0.0958	0	0.107	0.110	0.115	0.119	0.119	0.123	0.130	0.130	0.137	0.163	0.169	0.170	0.193	0.206	0.237
OE2	0.137	0.106	0.107	0	0.119	0.130	0.120	0.131	0.132	0.137	0.132	0.147	0.166	0.169	0.175	0.196	0.217	0.239
OE5	0.142	0.112	0.110	0.119	0	0.133	0.121	0.136	0.133	0.136	0.138	0.141	0.156	0.166	0.181	0.198	0.210	0.222
OE3	0.148	0.121	0.115	0.130	0.133	0	0.134	0.137	0.140	0.152	0.150	0.150	0.174	0.183	0.178	0.202	0.222	0.244
WT3	0.136	0.117	0.119	0.120	0.121	0.134	0	0.136	0.131	0.138	0.142	0.144	0.158	0.167	0.174	0.199	0.213	0.224
OE4	0.143	0.125	0.119	0.131	0.136	0.137	0.136	0	0.143	0.141	0.154	0.147	0.172	0.174	0.173	0.197	0.219	0.238
WT6	0.136	0.129	0.123	0.132	0.133	0.140	0.131	0.143	0	0.143	0.145	0.157	0.162	0.170	0.178	0.194	0.203	0.217
WT4	0.157	0.136	0.130	0.137	0.136	0.152	0.138	0.141	0.143	0	0.164	0.158	0.169	0.178	0.179	0.206	0.217	0.233
KO2	0.144	0.144	0.130	0.132	0.138	0.150	0.142	0.154	0.145	0.164	0	0.162	0.179	0.165	0.191	0.199	0.210	0.236
WT1	0.162	0.144	0.137	0.147	0.141	0.150	0.144	0.147	0.157	0.158	0.162	0	0.173	0.183	0.178	0.203	0.221	0.244
WT5	0.175	0.166	0.163	0.166	0.156	0.174	0.158	0.172	0.162	0.169	0.179	0.173	0	0.200	0.197	0.208	0.229	0.239
KO6	0.168	0.172	0.169	0.169	0.166	0.183	0.167	0.174	0.170	0.178	0.165	0.183	0.200	0	0.208	0.197	0.213	0.221
WT2	0.187	0.173	0.170	0.175	0.181	0.178	0.174	0.173	0.178	0.179	0.191	0.178	0.197	0.208	0	0.211	0.228	0.238
KO4	0.198	0.200	0.193	0.196	0.198	0.202	0.199	0.197	0.194	0.206	0.199	0.203	0.208	0.197	0.211	0	0.225	0.236
KO3	0.216	0.221	0.206	0.217	0.210	0.222	0.213	0.219	0.203	0.217	0.210	0.221	0.229	0.213	0.228	0.225	0	0.236
KO5	0.234	0.246	0.237	0.239	0.222	0.244	0.224	0.238	0.217	0.233	0.236	0.244	0.239	0.221	0.238	0.236	0.236	0
