NO	Gene	Sample	Group	Abundance
1	Gene1	KO1	KO	1.2
2	Gene2	KO1	KO	1.4
3	Gene3	KO1	KO	16
4	Gene4	KO1	KO	10
5	Gene5	KO1	KO	25
6	Gene6	KO1	KO	30
7	Gene7	KO1	KO	2
8	Gene8	KO1	KO	3
9	Gene1	KO2	KO	1.2
10	Gene2	KO2	KO	1.4
11	Gene3	KO2	KO	16
12	Gene4	KO2	KO	10
13	Gene5	KO2	KO	25
14	Gene6	KO2	KO	30
15	Gene7	KO2	KO	2
16	Gene8	KO2	KO	3
17	Gene1	KO3	KO	1.2
18	Gene2	KO3	KO	1.4
19	Gene3	KO3	KO	16
20	Gene4	KO3	KO	10
21	Gene5	KO3	KO	25
22	Gene6	KO3	KO	30
23	Gene7	KO3	KO	2
24	Gene8	KO3	KO	3
25	Gene8	WT1	WT	1.2
26	Gene7	WT1	WT	1.4
27	Gene6	WT1	WT	16
28	Gene5	WT1	WT	10
29	Gene4	WT1	WT	25
30	Gene3	WT1	WT	30
31	Gene2	WT1	WT	2
32	Gene1	WT1	WT	3
33	Gene8	WT2	WT	1.2
34	Gene7	WT2	WT	1.4
35	Gene6	WT2	WT	16
36	Gene5	WT2	WT	10
37	Gene4	WT2	WT	25
38	Gene3	WT2	WT	30
39	Gene2	WT2	WT	2
40	Gene1	WT2	WT	3
41	Gene8	WT3	WT	1.2
42	Gene7	WT3	WT	1.4
43	Gene6	WT3	WT	16
44	Gene5	WT3	WT	10
45	Gene4	WT3	WT	25
46	Gene3	WT3	WT	30
47	Gene2	WT3	WT	2
48	Gene1	WT3	WT	3
