ID	group	group2
Healthy01	Healthy	Healthy
Healthy02	Healthy	Healthy
Healthy03	Healthy	Healthy
Healthy04	Healthy	Healthy
Healthy05	Healthy	Healthy
Healthy06	Healthy	Healthy
Healthy07	Healthy	Healthy
Healthy08	Healthy	Healthy
Healthy09	Healthy	Healthy
Healthy10	Healthy	Healthy
Healthy11	Healthy	Healthy
Healthy12	Healthy	Healthy
Healthy13	Healthy	Healthy
Healthy14	Healthy	Healthy
Healthy15	Healthy	Healthy
Healthy16	Healthy	Healthy
Healthy17	Healthy	Healthy
Healthy18	Healthy	Healthy
Healthy19	Healthy	Healthy
Healthy20	Healthy	Healthy
Patients01	Patients	Patients
Patients02	Patients	Patients
Patients03	Patients	Patients
Patients04	Patients	Patients
Patients05	Patients	Patients
Patients06	Patients	Patients
Patients07	Patients	Patients
Patients08	Patients	Patients
Patients09	Patients	Patients
Patients10	Patients	Patients
Patients11	Patients	Patients
Patients12	Patients	Patients
Patients13	Patients	Patients
Patients14	Patients	Patients
Patients15	Patients	Patients
Patients16	Patients	Patients
Patients17	Patients	Patients
Patients18	Patients	Patients
Patients19	Patients	Patients
Patients20	Patients	Patients
