Species	A001F	A002F	A003F	A004F	A005F	A006F	A007F	A008F	A009F	A010F	A011F	A012F	A013F	A014F	A015F	A016F	A017F	A018F	A019F	A020F	B347477A	B348452C	B348676C	B348741C	B348867B	B349202C	B349441C	B350402B	B350638C	B350819D	B350890B	B350951C	B351263B	B351443D	B351788D	B352277C	B352458C	B352738D	B352756B	B353024B
Saccharomyces_cerevisiae	0	0	0	0.00152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candida_tropicalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01058	0	0	0	0	0	0	0	0	0	0
GGB6529_SGB9222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia_sp_KLE1798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia_muciniphila	0	2.59553	0	0	0	0	0	0	0	0.16166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30387	0	0	0	0	0	0	0	0	0
Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia_glycaniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB6132_SGB8779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma_hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB37878_SGB47372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB4750_SGB6579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
