"","Kingdom","Phylum","Class","Order","Famiy","Genus","Species","N Patients","N Control","","RA in Patients","RA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper",""
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens",5,1,"",0.0415276785775329,0.000481308747287123,-9.48037422476095,1.27348810338093,9.73747794741932e-14,4.73241428244579e-11,7.63353652252555e-05,6.29087172774734e-06,0.000926276712712395,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella pneumoniae",7,4,"",0.334674208164353,0.00757699987310377,-10.3934554748988,1.72901783906046,1.84165924950353e-09,4.47523197629357e-07,3.06323023053464e-05,1.03373671758794e-06,0.000907714632324939,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_SGB4750","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium SGB4750",4,8,"",0.00334554157409614,0.388476077087329,9.00661822294622,1.95122426932309,3.91431985504646e-06,0.000634119816517527,8156.88979678393,178.07746550258,373628.695630296,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerotruncus|s__Anaerotruncus_rubiinfantis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus rubiinfantis",3,3,"",0.00116141640897954,0.00214046187253433,-5.51980402311727,1.33730593066342,3.66640467462308e-05,0.00445468167966704,0.00400663307261402,0.000291367952711965,0.0550956562969501,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9699|s__GGB9699_SGB15216","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9699","GGB9699 SGB15216",5,4,"",0.0217320416781204,0.00763047599856993,-7.84683339786686,1.99843912835104,8.61976744492725e-05,0.00837841395646929,0.000390988113824482,7.78140154026414e-06,0.0196457803084709,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_sp_BX15","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter","Dysosmobacter sp BX15",5,5,"",0.0389658132611109,0.0361411602104196,-8.20776619477286,2.16912940070289,0.000154390604119941,0.0125056389337152,0.000272528818150231,3.88161280171703e-06,0.019134303320905,""
"k__Bacteria|p__Firmicutes|c__CFGB76046|o__OFGB76046|f__FGB76046|g__GGB55957|s__GGB55957_SGB77276","Bacteria","Firmicutes","CFGB76046","OFGB76046","FGB76046","GGB55957","GGB55957 SGB77276",0,4,"",0.000109956192913333,0.00484008571281086,7.30083366716849,1.98932794042453,0.000242550408561775,0.0128528823641818,1481.53451958159,30.0166102648795,73124.3306070442,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746|s__GGB3746_SGB5089","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3746","GGB3746 SGB5089",2,6,"",0.000761851075074185,0.201250867781924,10.1674900308768,2.77499859068252,0.000248343420191652,0.0128528823641818,26042.6284684435,113.124931120356,5995305.28618678,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708|s__GGB9708_SGB15234","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9708","GGB9708 SGB15234",3,4,"",0.00270331982452044,0.00350070918711426,-6.53683960131385,1.79190424449094,0.000264305181968341,0.0128528823641818,0.0014490608800427,4.32301702733036e-05,0.0485720370934285,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris",8,7,"",0.987433995816818,1.06284111981161,7.66791590227443,2.10204751223169,0.000264462600086044,0.0128528823641818,2138.61970504826,34.7403827496194,131653.536340812,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB1663|s__GGB1663_SGB2279","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","GGB1663","GGB1663 SGB2279",3,2,"",0.00241693360274593,0.0017670796838097,-6.96738370946502,2.06145765187323,0.000725297434813324,0.0320449593926614,0.000942114529597125,1.65712596891595e-05,0.0535613950615139,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli",9,7,"",4.43839753039135,0.190853328688897,-8.89794030490582,2.74031214042447,0.00116606441596691,0.0409529469763166,0.00013667013558788,6.35437499220482e-07,0.0293950640063317,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_aldenensis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster aldenensis",6,7,"",0.0199406093298234,0.1102347941595,6.65911604526182,2.06425930871979,0.0012557256105672,0.0409529469763166,779.861270289582,13.6421982325034,44581.0558190426,""
"k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989|g__GGB9712|s__GGB9712_SGB15244","Bacteria","Firmicutes","CFGB9989","OFGB9989","FGB9989","GGB9712","GGB9712 SGB15244",2,2,"",0.00111208571657437,0.00155936026331741,-6.81216001559415,2.11599554644198,0.00128475259538018,0.0409529469763166,0.00110031363664623,1.73918076623265e-05,0.0696126660607113,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae unclassified","Clostridiaceae bacterium",6,10,"",0.0435316062654369,4.52957119925834,5.52326269824568,1.72531964935881,0.00136809864221593,0.0409529469763166,250.45085114126,8.51335566865566,7367.90888090387,""
