Classify	Species	P347477A	P348452C	P348676C	P348741C	P348867B	P349202C	P349441C	P350402B	P350638C	P350819D	P350890B	P350951C	P351263B	P351443D	P351788D	P352277C	P352458C	P352738D	P352756B	P353024B	P353053C	P353285A	P353465C	P353478C	P354143B	P354149D	P354238B	P354575B	P354947C	P355118C	P355538C	P355926C	P356138C	P356149C	P356638C	P356988C	P357549A	P357552B	P358432B	P358702B	P358947B	P359231B	P359497B	P359738B	P360160A	P360450B	P360616C	P360895C	P361487D	P361933B	P361995C	P362591C	P362608C	P362680A	P363606B	P363703B	P364289B	P364305C	P364358B	P364417B	P364666C	P364696B	P364758C	P364765D	P365035B	P365052B	P365459D	P365479D	P365533C	P365726B	P366184B	P366396B	P366418C	P367034C	P367853B	P368478C	P368499B	P369114C	P369136C	P369177C	P369199D	P369797C	P371331B	P371418B	P371464B	P371627B	P371780B	P371964D	P371965D	P371978C	P372006A	P372419C	P372432D	P373384C	P373415B	P373450D	P373954D	P373965B	P374193C	P374232B	P374257D	P374263C	P374270C	P375029C	P375279C	P375618D	P376114B	P376225C	P376980C	P377167C	P377208D	P377667D	P377807C	P378261C	P378289C	P378538B	P378561D	P378578C	P379851C	P380191C	P380268C	P380942D	P381048C	P381483D	P381530D	P381778C	P381867C	P381881B	P382484C	P382576C	P382741C	P383027C	P383031C	P383336B	P383573C	P384256D	P384638C	P385669D	P386309D	P386345C	P388146C	P388277B	P388956B	P388989B	P389450C	P390374C	P390572C	P390608B	P390944D	P391412B	P392500C	P392599A	P392604C	P392718C	P392754B	P392851B	P392861D	P392875C	P393552C	P393629A	P394276C	P394952C	P395023B	P395560A	P395998D	P396262C	P396832B	P396833B	P397078B	P397353B	P397467A	P397578A	P397584D	P397824C	P398375B	P398563B	P398609C	P399078A	P400525D	P401286B	P401414A	P402032B	P402036C	P403023B	P403027B	P403521D	P403961D	P404151C	P404193C	P405115B	P406033B	P406952A	P408672B	P409120C	P410376D	P410516B	P410663B	P412220B	P413028B	P413804C	P414209B	P414382D	P414597B	P414844D	P416163A	P416483D	P416611D	P416648C	P418499B	P418647D	P419127A	P419725C	P419943C	P420760C	P420854D	P420905D	P421159C	P421544D	P421646D	P422125D	P422347C	P422381A	P422714C	P423275D	P423279B	P423522C	P424027B	P424073B	P424096C	P424311C	P424439C	P424824B	P426273D	P426845A	P427064B	P427510D	P428065B	P428276D	P428285D	P428541D	P429737D	P430130C	P430146B	P430569C	P430712A	P430886C	P431330C	P432539C	P432555B	P432847A	P433669B	P433743C	P433746A	P433894C	P434204D	P434556D	P434867C	P435484B	P435499D	P435780C	P436264D	P436410D	P437107D	P437295A	P438323D	P438784D	P438847D	P438867D	P439900D	P440039A	P440123A	P440440C	P440486C	P441625B	P441696A	P442212D	P442263C	P442328B	P443405C	P443541C	P443887D	P444556D	P445203D	P445338A	P445807C	P445935B	P446338D	P446506A	P446548A	P446719D	P447131B	P447140D	P447223B	P447642B	P447961D	P448151A	P448183B	P448378D	P448749C	P448868A	P449006D	P449895D	P450023D	P450721D	P450898B	P451740C	P452011C	P452045D	P452067D	P452068A	P453769B	P453780A	P454268A	P455076C	P455993D	P456202B	P457953B	P459522C	P461311D	P462536C	P462707D	P462934A	P463971D	P466661C	P466809C	P466853B	P467529B	P467815D	P469446D	P470061D	P470355A	P470357A	P470440A	P470877A	P471430A	P471949C	P473097C	P473414C	P473876D	P474190D	P477401B	P477540A	P478736C	P478805B	P478806A	P479612A	P479947D	P480512A	P480527D	P480821A	P480876C	P481399D	P481732A	P482331A	P482738C	P483076A	P484468C	P484752C	P484929A	P485297D	P486042A	P486310A	P486478D	P486623A	P486636B	P486663D	P487850D	P488253A	P488619D	P488828C	P489300C	P490091D	P491519A	P491912C	P492151D	P492202A	P492215A	P493593A	P493823A
Abiotrophia_defectiva	Abiotrophia_defectiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00901	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549	0	0	0	0	0	0	0	0	0	0	0.00387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02123	0	0	0	0	0	0	0	0.00534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia_sp_HMSC24B09	Abiotrophia_sp_HMSC24B09	0	0	0.00458	0	0	0	0	0.00673	0.01102	0	0	0	0	0	0	0	0	0	0	0.00078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02358	0	0	0	0	0	0	0	0	0	0	0	0.00076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0056	0.00198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00509	0	0	0	0	0.00128	0	0	0	0.00445	0	0	0	0	0	0	0.05705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Absicoccus_porci	Absicoccus_porci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_insolitus	Achromobacter_insolitus	0	0	0	0	0	0	0	0	0	0.00636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter_ruhlandii	Achromobacter_ruhlandii	0	0	0	0	0	0	0	0	0	0.02492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_fermentans	Acidaminococcus_fermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158	0	0	0	0	0	0	0	0	0	0	0	0.00423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_intestini	Acidaminococcus_intestini	0	0	0	0	0	0	0	0	0	0	0	0	0	6.11579	0	0	0	0	0.01686	0	0	0	0	0	0	0	0.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56519	0	0.01066	0	0	0	0	0	0	2.45977	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34447	0	3.17488	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0.07848	0	0.0043	0	0	0	0	0	0	0	0.00182	0	0	0	0	0	0	0	1.68092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53387	0	0	0	0	0	0	0	0.52555	0	0	0	0.00847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04032	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_massiliensis	Acidaminococcus_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76821	0.08507	0.00376	0	0	0	0	0	0	0	0	0	0.51787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0	0.02452	0.04354	0	0	0	0	0	0	0.15162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02805	0	0	0	0	0	0.04578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10255	0	0	0	0	0	0	0	0	0	0	0	0	0.0088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01453	0	0	0	0	0	0.14338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01948	0	0	0	0	0	0	0	0.00492	0	0.0232	0	0	0	0	0	0	0	0	0	0	0	0.01819	0.09664	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4304	0	0	0	0	0	0.06604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00516	0.00261	0	0	2.81976	0	0	0	0	0	0	0	0	0	0	0	0	0.0576	0	0	0	0	0	0	0	0	0	0.09435	0	0	0	0	0	0	0	0	0	0	0	0	0.0773	0	0	0	0	0	0.08608	0	0	0	0	0	0	0	0.05525	0	0	0	0.03636	0	0	0
Acidaminococcus_provencensis	Acidaminococcus_provencensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08758	0	0.01158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92826	0	0	0.01516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.95885	0.03312	1.75432	0	0	0.28387	0	0	0.14247	0	0	0.07253	0	0	0	0	0	0	0	0	0	0	0	2.17532	0	0	1.76232	0	0	0	0	0.01868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0849	0	0	0	0	0	0.0289	0	0	0	0	0	0	0	0	0	0	0	0	4.33735	0	0.00344	0	0	0	0.1628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42468	0	0	0	0	0	0	0	0	0	0	0.1331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.67634	0	0.00075	0	0	0.21556	0	0	0	0.01277	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36287	0	0	0	0	0	0	0.21039	0	0	0	0	0	0.016	0	0.00042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01729	0	0	0	0.13294	0	0	0	0	0	0	0	0.16829	0	0	0	0	0.57381	0	0	0	0	0	0	0	0	0	0	0.02066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04365	0	0	0	0	0	0	0	0.0061	0	0	0	0	0	0	0	0	0	2.92881	0	0	0	0	0	0	0	0.70525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidaminococcus_SGB42794	Acidaminococcus_SGB42794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
