confounders	r2	kindom
ASD	3.63	KO_Genes
Demographics	3.51	KO_Genes
GI_Parameters	3.13	KO_Genes
Diet	2.25	KO_Genes
Technical_Factors	1.61	KO_Genes
Medication	0.77	KO_Genes
Comorbidity	0.43	KO_Genes
Mental_disorder	0.29	KO_Genes
Parental_Mental	0.12	KO_Genes
ASD	4.33	Pathways
Demographics	2.99	Pathways
GI_Parameters	2.87	Pathways
Diet	3.15	Pathways
Technical_Factors	1.91	Pathways
Medication	0.65	Pathways
Comorbidity	0.55	Pathways
Mental_disorder	0.41	Pathways
Parental_Mental	0.23	Pathways
