"","A001F","A002F","A003F","A004F","A005F","A006F","A007F","A008F","A009F","A010F","A011F","A012F","A013F","A014F","A015F","A016F","A017F","A018F","A019F","A020F","B347477A","B348452C","B348676C","B348741C","B348867B","B349202C","B349441C","B350402B","B350638C","B350819D","B350890B","B350951C","B351263B","B351443D","B351788D","B352277C","B352458C","B352738D","B352756B","B353024B"
"Abiotrophia_defectiva",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia_sp_HMSC24B09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609018420183987,0,0,0,0,0.00881137104359325,0.0207447989297729,0,0,0,0,0,0,0,0,0,0,0.000572781542516964
"Absicoccus_porci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter_insolitus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00682082056672982,0,0,0,0,0,0,0,0,0,0
"Achromobacter_ruhlandii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026632155420956,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_intestini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00788213440707796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95132100874859,0,0,0,0,0.0152287666673619,0
"Acidaminococcus_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_provencensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222311621457471,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566032410333305,0,0.009712779636566,0,0,0,0
"Acidaminococcus_SGB42794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_SGB5735",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_baumannii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1791108140997,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_gerneri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_guillouiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541616592302914,0,0,0.118776479770591,0.347663877378883,0,0.118393022468872,0,0,0.00220637187899778,0.829796584571463,0.236719793007854,0,0,0.0731762992946105,0.451798069999675,0,0.0927611317192533,0
"Acinetobacter_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_pseudolwoffii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
