sample	group	value
factor1	group1	0.625554036
factor2	group1	0.675029028
factor3	group1	0.75946052
factor4	group1	0.551602972
factor5	group1	0.487147867
factor6	group1	0.900393319
factor7	group1	0.362097339
factor8	group1	0.319812034
factor9	group1	0.476186724
factor10	group1	0.564933398
factor11	group1	0.045064076
factor12	group1	0.812986163
factor13	group1	0.971604888
factor14	group1	0.171571088
factor15	group1	0.026672573
factor16	group1	0.570972061
factor17	group1	0.017561047
factor18	group1	0.303157363
factor19	group1	0.41615131
factor20	group1	0.459083123
factor21	group1	0.065012628
factor22	group1	0.529169399
factor23	group1	0.871664143
factor24	group1	0.47001022
factor25	group1	0.403412737
factor1	group2	0.796149461
factor2	group2	0.910521057
factor3	group2	0.060398677
factor4	group2	0.95496569
factor5	group2	0.195470837
factor6	group2	0.183971337
factor7	group2	0.566095545
factor8	group2	0.123395866
factor9	group2	0.661064424
factor10	group2	0.903954074
factor11	group2	0.530845948
factor12	group2	0.532744469
factor13	group2	0.505251756
factor14	group2	0.721921274
factor15	group2	0.470686361
factor16	group2	0.021301997
factor17	group2	0.923658357
factor18	group2	0.35796121
factor19	group2	0.584052482
factor20	group2	0.405581578
factor21	group2	0.592844178
factor22	group2	0.834970011
factor23	group2	0.548161277
factor24	group2	0.774047452
factor25	group2	0.031610287
factor1	group3	0.468308016
factor2	group3	0.242693214
factor3	group3	0.403433459
factor4	group3	0.645460667
factor5	group3	0.909231599
factor6	group3	0.514978776
factor7	group3	0.525353394
factor8	group3	0.04344721
factor9	group3	0.17756651
factor10	group3	0.149866903
factor11	group3	0.835298796
factor12	group3	0.898413762
factor13	group3	0.3190959
factor14	group3	0.55213526
factor15	group3	0.182071771
factor16	group3	0.195720537
factor17	group3	0.24856066
factor18	group3	0.725523592
factor19	group3	0.931545405
factor20	group3	0.738152018
factor21	group3	0.530813404
factor22	group3	0.014389379
factor23	group3	0.057035487
factor24	group3	0.416079059
factor25	group3	0.198496795
factor1	group4	0.694877516
factor2	group4	0.303610952
factor3	group4	0.777265887
factor4	group4	0.840815504
factor5	group4	0.166732579
factor6	group4	0.489250201
factor7	group4	0.279786426
factor8	group4	0.188344405
factor9	group4	0.996984268
factor10	group4	0.275776508
factor11	group4	0.46250555
factor12	group4	0.537837123
factor13	group4	0.820222183
factor14	group4	0.407474142
factor15	group4	0.101431295
factor16	group4	0.12112243
factor17	group4	0.002721114
factor18	group4	0.166408461
factor19	group4	0.705870936
factor20	group4	0.715113721
factor21	group4	0.255209362
factor22	group4	0.107541712
factor23	group4	0.058076052
factor24	group4	0.057849542
factor25	group4	0.93808471
