geneset,OR,lower,upper,BHFDR,set,variant,significant
Very high brain expression,1.565682717,0.655567425,3.369560326,0.993631576,CHILD+INOVA,LOF,
Very high brain expression,2.281616324,1.017394063,4.779190962,0.081055913,CP,LOF,*
Very high brain expression,0.951686801,0.178670019,3.290918457,1,INOVA,LOF,
Very high brain expression,2.157179191,0.685667311,5.883168597,1,CHILD,LOF,
FMR1 targets from Darnell et al,4.764723315,1.158959115,14.77955445,0.221309578,INOVA,LOF,
FMR1 targets from Darnell et al,2.00623605,0.226556248,8.317526329,1,CHILD,LOF,
FMR1 targets from Darnell et al,3.36334112,1.15393439,8.106452381,0.322013648,CHILD+INOVA,LOF,
FMR1 targets from Darnell et al,3.688745565,1.257835479,8.977825208,0.048278735,CP,LOF,*
Nervous system development,0,0,1.9730595,0.860113885,INOVA,LOF,
Nervous system development,0.487003386,0.011752013,3.045158183,1,CHILD,LOF,
Nervous system development,0.249744347,0.006169753,1.476054675,0.993631576,CHILD+INOVA,LOF,
Nervous system development,2.686865111,1.061228144,6.02527359,0.059650145,CP,LOF,*
Central nervous system development,0,0,5.431870318,1,INOVA,LOF,
Central nervous system development,0,0,5.149719583,1,CHILD,LOF,
Central nervous system development,0,0,2.590613212,0.993631576,CHILD+INOVA,LOF,
Central nervous system development,4.188781035,1.273741754,10.83542027,0.048278735,CP,LOF,*
Neuron projection,1.779862913,0.200245412,7.435688709,0.912788333,INOVA,LOF,
Neuron projection,0,0,3.076438263,1,CHILD,LOF,
Neuron projection,0.843094719,0.09852251,3.263347788,1,CHILD+INOVA,LOF,
Neuron projection,3.100378619,1.057203341,7.543763235,0.059650145,CP,LOF,*
Axon guidance pathways,0,0,4.365864443,1,CHILD+INOVA,LOF,
Axon guidance pathways,0,0,8.680233386,1,CHILD,LOF,
Axon guidance pathways,1.254771313,0.030912615,7.455478302,0.635079838,CP,LOF,
Axon guidance pathways,0,0,9.155544798,1,INOVA,LOF,
Inclusive union of neuron functions,0.638942513,0.0721602,2.64854268,1,CHILD,LOF,
Inclusive union of neuron functions,0.674438985,0.174377942,1.881965751,1,CHILD+INOVA,LOF,
Inclusive union of neuron functions,0.674438983,0.075886464,2.817257029,1,INOVA,LOF,
Inclusive union of neuron functions,3.287861619,1.537219674,6.720561177,0.01372817,CP,LOF,*
Stringent union of neuron functions,0,0,2.692918013,1,CHILD,LOF,
Stringent union of neuron functions,1.557886841,0.17526522,6.508607355,0.912788333,INOVA,LOF,
Stringent union of neuron functions,0.737947423,0.086236897,2.855851428,1,CHILD+INOVA,LOF,
Stringent union of neuron functions,3.867511085,1.527660125,8.673969105,0.020803046,CP,LOF,*
Nervous system AD or X-linked,1.7194035,0.041476157,10.75261998,1,CHILD,LOF,
Nervous system AD or X-linked,1.809849871,0.211465985,7.006552701,0.993631576,CHILD+INOVA,LOF,
Nervous system AD or X-linked,6.655592145,2.268934943,16.20759725,0.013406348,CP,LOF,*
Nervous system AD or X-linked,1.809850009,0.043551279,11.38731945,0.912788333,INOVA,LOF,
Nervous system,0.909132126,0.102675019,3.768864341,1,CHILD,LOF,
Nervous system,1.23382974,0.377283408,3.16323792,1,CHILD+INOVA,LOF,
Nervous system,2.382509796,0.941063039,5.342190713,0.101364516,CP,LOF,
Nervous system,1.524131525,0.286142215,5.269914552,0.912788333,INOVA,LOF,
Sensory system abnormality,1.21076916,0.136752492,5.019418125,1,CHILD,LOF,
Sensory system abnormality,1.014913263,0.19941391,3.2274678,1,CP,LOF,
Sensory system abnormality,0.605415876,0.070745454,2.342919899,1,CHILD+INOVA,LOF,
Sensory system abnormality,0,0,2.330075698,0.972816601,INOVA,LOF,
NeuroBehavior abnormality,2.536983271,1.053002866,5.530750611,0.074822485,CP,LOF,*
NeuroBehavior abnormality,1.127515439,0.344761922,2.890869079,1,CHILD+INOVA,LOF,
NeuroBehavior abnormality,0.876956334,0.098675013,3.66318842,1,INOVA,LOF,
NeuroBehavior abnormality,1.315454356,0.248184249,4.50697026,1,CHILD,LOF,
Post-synaptic density,1.177745391,0.232274251,3.720663274,1,CHILD+INOVA,LOF,
Post-synaptic density,0.726267609,0.01752124,4.54162954,1,CHILD,LOF,
Post-synaptic density,1.613930697,0.181572554,6.743235283,0.912788333,INOVA,LOF,
Post-synaptic density,0.403488934,0.009944853,2.3967318,0.762990896,CP,LOF,
Very high brain expression,0.947548908,0.682835941,1.292730981,0.934156861,CHILD+INOVA,Missense,
Very high brain expression,1.551972272,1.149445757,2.073418467,0.031177838,CP,Missense,*
Very high brain expression,0.752113257,0.448886494,1.203280616,0.631083018,INOVA,Missense,
Very high brain expression,1.207434479,0.776581193,1.826736536,0.956158123,CHILD,Missense,
FMR1 targets from Darnell et al,0.780498135,0.380039284,1.444021547,0.718535297,INOVA,Missense,
FMR1 targets from Darnell et al,1.050802376,0.557801651,1.832127511,1,CHILD,Missense,
FMR1 targets from Darnell et al,0.875342699,0.550362977,1.332930391,0.816768947,CHILD+INOVA,Missense,
FMR1 targets from Darnell et al,1.188272617,0.771215662,1.766990234,0.71778845,CP,Missense,
Nervous system development,1.224057425,0.730584497,1.958361904,0.631083018,INOVA,Missense,
Nervous system development,1.196176595,0.704420082,1.934247389,0.956158123,CHILD,Missense,
Nervous system development,1.180771181,0.822227995,1.656957719,0.671463607,CHILD+INOVA,Missense,
Nervous system development,1.444382955,1.009931523,2.022968117,0.100364685,CP,Missense,
Central nervous system development,0.548847151,0.147400265,1.438149075,0.631083018,INOVA,Missense,
Central nervous system development,0.861574172,0.3104267,1.927086266,1,CHILD,Missense,
Central nervous system development,0.704324229,0.333809887,1.316061199,0.671463607,CHILD+INOVA,Missense,
Central nervous system development,1.051596334,0.551435485,1.834483997,1,CP,Missense,
Neuron projection,1.142913453,0.592120174,2.026206609,0.771335966,INOVA,Missense,
Neuron projection,1.704219664,0.976013268,2.813175232,0.956158123,CHILD,Missense,
Neuron projection,1.367581617,0.903076263,2.003369966,0.583043823,CHILD+INOVA,Missense,
Neuron projection,1.687987976,1.125489583,2.456743005,0.046203637,CP,Missense,*
Axon guidance pathways,1.323153504,0.652407438,2.407131202,0.694064178,CHILD+INOVA,Missense,
Axon guidance pathways,1.465793332,0.5281292,3.27899472,0.956158123,CHILD,Missense,
Axon guidance pathways,2.082395046,1.14641246,3.508481853,0.052345662,CP,Missense,*
Axon guidance pathways,1.421712353,0.512526573,3.17751468,0.631083018,INOVA,Missense,
Inclusive union of neuron functions,1.059113481,0.662478122,1.636584156,1,CHILD,Missense,
Inclusive union of neuron functions,1.094837405,0.797257428,1.480619839,0.788905335,CHILD+INOVA,Missense,
Inclusive union of neuron functions,1.170531234,0.749339434,1.775906458,0.635519082,INOVA,Missense,
Inclusive union of neuron functions,1.305907395,0.948615156,1.772622419,0.196227445,CP,Missense,
Stringent union of neuron functions,1.478007817,0.846462373,2.439768081,0.956158123,CHILD,Missense,
Stringent union of neuron functions,1.249705737,0.692584112,2.111673576,0.631083018,INOVA,Missense,
Stringent union of neuron functions,1.320974771,0.888846736,1.906071703,0.583043823,CHILD+INOVA,Missense,
Stringent union of neuron functions,1.733962779,1.187270571,2.470266619,0.031177838,CP,Missense,*
Nervous system AD or X-linked,0.872397919,0.278579863,2.088649101,1,CHILD,Missense,
Nervous system AD or X-linked,1.318740207,0.727402281,2.216277705,0.671463607,CHILD+INOVA,Missense,
Nervous system AD or X-linked,1.932600576,1.141836899,3.090171194,0.046203637,CP,Missense,*
