SampleID	Env	SourceSink	id
ERR525698	Env_1	Sink	1
ERR525693	Env_2	Source	1
ERR525688	Env_3	Source	1
ERR525699	Env_4	Source	1
ERR525910	Env_1	Sink	2
ERR525909	Env_2	Source	2
ERR525908	Env_3	Source	2
ERR525911	Env_4	Source	2
ERR525954	Env_1	Sink	3
ERR525949	Env_2	Source	3
ERR525944	Env_3	Source	3
ERR525955	Env_4	Source	3
ERR526078	Env_1	Sink	4
ERR526077	Env_2	Source	4
ERR526076	Env_3	Source	4
ERR526079	Env_4	Source	4
ERR525719	Env_1	Sink	5
ERR525718	Env_2	Source	5
ERR525717	Env_3	Source	5
ERR525720	Env_4	Source	5
ERR525846	Env_1	Sink	6
ERR525845	Env_2	Source	6
ERR525844	Env_3	Source	6
ERR525847	Env_4	Source	6
ERR525966	Env_1	Sink	7
ERR525965	Env_2	Source	7
ERR525964	Env_3	Source	7
ERR525967	Env_4	Source	7
ERR525998	Env_1	Sink	8
ERR525997	Env_2	Source	8
ERR525996	Env_3	Source	8
ERR525999	Env_4	Source	8
ERR525691	Env_1	Sink	9
ERR525690	Env_2	Source	9
ERR525689	Env_3	Source	9
ERR525692	Env_4	Source	9
ERR525707	Env_1	Sink	10
ERR525702	Env_2	Source	10
ERR525701	Env_3	Source	10
ERR525708	Env_4	Source	10
ERR525724	Env_1	Sink	11
ERR525723	Env_2	Source	11
ERR525722	Env_3	Source	11
ERR525725	Env_4	Source	11
ERR525732	Env_1	Sink	12
ERR525731	Env_2	Source	12
ERR525730	Env_3	Source	12
ERR525733	Env_4	Source	12
ERR525752	Env_1	Sink	13
ERR525750	Env_2	Source	13
ERR525743	Env_3	Source	13
ERR525753	Env_4	Source	13
ERR525803	Env_1	Sink	14
ERR525802	Env_2	Source	14
ERR525801	Env_3	Source	14
ERR525804	Env_4	Source	14
ERR525818	Env_1	Sink	15
ERR525817	Env_2	Source	15
ERR525816	Env_3	Source	15
ERR525819	Env_4	Source	15
ERR525838	Env_1	Sink	16
ERR525837	Env_2	Source	16
ERR525836	Env_3	Source	16
ERR525839	Env_4	Source	16
ERR525870	Env_1	Sink	18
ERR525869	Env_2	Source	18
ERR525868	Env_3	Source	18
ERR525871	Env_4	Source	18
ERR525906	Env_1	Sink	19
ERR525905	Env_2	Source	19
ERR525904	Env_3	Source	19
ERR525907	Env_4	Source	19
ERR525990	Env_1	Sink	20
ERR525989	Env_2	Source	20
ERR525988	Env_3	Source	20
ERR525991	Env_4	Source	20
ERR526006	Env_1	Sink	21
ERR526005	Env_2	Source	21
ERR526004	Env_3	Source	21
ERR526007	Env_4	Source	21
ERR526010	Env_1	Sink	22
ERR526009	Env_2	Source	22
ERR526008	Env_3	Source	22
ERR526011	Env_4	Source	22
ERR526022	Env_1	Sink	23
ERR526021	Env_2	Source	23
ERR526020	Env_3	Source	23
ERR526023	Env_4	Source	23
ERR526026	Env_1	Sink	24
ERR526025	Env_2	Source	24
ERR526024	Env_3	Source	24
ERR526027	Env_4	Source	24
ERR526030	Env_1	Sink	25
ERR526029	Env_2	Source	25
ERR526028	Env_3	Source	25
ERR526031	Env_4	Source	25
ERR526058	Env_1	Sink	26
ERR526057	Env_2	Source	26
ERR526056	Env_3	Source	26
ERR526059	Env_4	Source	26
ERR526066	Env_1	Sink	27
ERR526065	Env_2	Source	27
ERR526064	Env_3	Source	27
ERR526067	Env_4	Source	27
ERR526082	Env_1	Sink	28
ERR526081	Env_2	Source	28
ERR526080	Env_3	Source	28
ERR526083	Env_4	Source	28
ERR525758	Env_1	Sink	29
ERR525721	Env_2	Source	29
ERR525700	Env_3	Source	29
ERR525759	Env_4	Source	29
ERR525696	Env_1	Sink	30
ERR525695	Env_2	Source	30
ERR525694	Env_3	Source	30
ERR525697	Env_4	Source	30
ERR525705	Env_1	Sink	31
ERR525704	Env_2	Source	31
ERR525703	Env_3	Source	31
ERR525715	Env_1	Sink	32
ERR525714	Env_2	Source	32
ERR525713	Env_3	Source	32
ERR525716	Env_4	Source	32
ERR525736	Env_1	Sink	33
ERR525735	Env_2	Source	33
ERR525734	Env_3	Source	33
ERR525737	Env_4	Source	33
ERR525745	Env_1	Sink	34
ERR525744	Env_2	Source	34
ERR525742	Env_3	Source	34
ERR525746	Env_4	Source	34
ERR525749	Env_1	Sink	35
ERR525748	Env_2	Source	35
ERR525747	Env_3	Source	35
ERR525751	Env_4	Source	35
ERR525756	Env_1	Sink	36
ERR525755	Env_2	Source	36
ERR525754	Env_3	Source	36
ERR525757	Env_4	Source	36
ERR525762	Env_1	Sink	37
ERR525761	Env_2	Source	37
ERR525760	Env_3	Source	37
ERR525763	Env_4	Source	37
ERR525770	Env_1	Sink	38
ERR525769	Env_2	Source	38
ERR525768	Env_3	Source	38
ERR525771	Env_4	Source	38
ERR525774	Env_1	Sink	39
ERR525773	Env_2	Source	39
ERR525772	Env_3	Source	39
ERR525775	Env_4	Source	39
ERR525778	Env_1	Sink	40
ERR525777	Env_2	Source	40
ERR525776	Env_3	Source	40
ERR525779	Env_4	Source	40
ERR525786	Env_1	Sink	41
ERR525785	Env_2	Source	41
ERR525784	Env_3	Source	41
ERR525787	Env_4	Source	41
ERR525790	Env_1	Sink	42
ERR525789	Env_2	Source	42
ERR525788	Env_3	Source	42
ERR525791	Env_4	Source	42
ERR525794	Env_1	Sink	43
ERR525793	Env_2	Source	43
ERR525792	Env_3	Source	43
ERR525795	Env_4	Source	43
ERR525798	Env_1	Sink	44
ERR525797	Env_2	Source	44
ERR525796	Env_3	Source	44
ERR525799	Env_4	Source	44
ERR525808	Env_1	Sink	45
ERR525807	Env_2	Source	45
ERR525806	Env_3	Source	45
ERR525809	Env_4	Source	45
ERR525812	Env_1	Sink	46
ERR525811	Env_2	Source	46
ERR525810	Env_3	Source	46
ERR525813	Env_4	Source	46
ERR525822	Env_1	Sink	47
ERR525821	Env_2	Source	47
ERR525820	Env_3	Source	47
ERR525823	Env_4	Source	47
ERR525830	Env_1	Sink	48
ERR525829	Env_2	Source	48
ERR525828	Env_3	Source	48
ERR525831	Env_4	Source	48
ERR525834	Env_1	Sink	49
ERR525833	Env_2	Source	49
ERR525832	Env_3	Source	49
ERR525835	Env_4	Source	49
ERR525850	Env_1	Sink	50
ERR525849	Env_2	Source	50
ERR525848	Env_3	Source	50
ERR525851	Env_4	Source	50
ERR525854	Env_1	Sink	51
ERR525853	Env_2	Source	51
