	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Proteobacteria	21656.3692394898	-1.03552187967803	0.2180801996983	-4.74835350073324	2.05079357216988e-06	3.07619035825482e-05
Planctomycetes	87.8029961411309	1.43460269201352	0.322774239252103	4.44460095495113	8.80551524590399e-06	6.604136434428e-05
Actinobacteria	10561.924085167	-0.591404332775251	0.169149487955141	-3.49634125367316	0.000471685055339716	0.00235842527669858
Verrucomicrobia	104.606054976626	0.851992468242313	0.255027658169293	3.34078458139918	0.000835420149928675	0.00313282556223253
Acidobacteria	160.148037417757	0.606023674339033	0.2879296030722	2.10476334448691	0.0353119134126909	0.105935740238073
Armatimonadetes	9.26531832649196	0.845738067061279	0.478703304776784	1.76672702824903	0.0772739546017484	0.193184886504371
Candidatus_Saccharibacteria	14.1485634207349	-0.944874332373577	0.588529157456039	-1.60548431696718	0.108387261843059	0.232258418235126
Chloroflexi	643.0182344628	-0.449620365516073	0.309166111673395	-1.45430028887207	0.145863070418183	0.273493257034092
Unassigned	501.379779860771	-0.251749355645541	0.202009626918194	-1.24622454625635	0.212681969879277	0.354469949798794
Bacteroidetes	1745.25700097565	-0.242747729601307	0.307780576832028	-0.788703862017215	0.430285110168347	0.64542766525252
Chlamydiae	15.9504819964361	0.271602160640738	0.499050335966217	0.544238007805137	0.58627770016779	0.799469591137896
Firmicutes	685.464142220497	0.139706858973342	0.300424231779943	0.465031925506179	0.641908594186429	0.802385742733036
Spirochaetes	47.1464439845039	-0.101563217396152	0.362492404851919	-0.280180263191008	0.779339208190728	0.899237547912378
Ignavibacteriae	5.38696020005484	0.0862362714689929	0.872990884578886	0.0987825566020562	0.921310918561046	0.987118841315406
Nitrospirae	31.297096582834	-0.0049656782643409	0.396255073009243	-0.0125315197270044	0.990001555578042	0.990001555578042
