clade_name	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10
k__Bacteria	99.99155	99.71111	100	99.99848	99.98705	100	100	99.91495	100	100	100	100	100	99.99061	100	99.98907	99.97111	100	100	99.98941
k__Archaea	0.00645	0.16888	0	0	0.01195	0	0	0.08505	0	0	0	0	0	0.00917	0	0.01091	0.01769	0	0	0
k__Bacteria|p__Bacteroidetes	61.76155	79.1604	10.41675	49.11168	60.61997	47.94411	17.45495	68.45111	71.51188	15.58805	46.64944	19.11567	7.19856	65.51117	16.01451	14.19056	58.15594	10.48181	1.65587	1.18157
k__Bacteria|p__Firmicutes	11.55101	16.71614	76.0467	41.95449	18.1761	48.14159	80.45451	19.65561	11.00997	61.09495	50.19904	49.79715	81.70159	11.15564	56.117	58.41061	11.66007	68.1191	11.14598	69.17176
k__Bacteria|p__Proteobacteria	1.68687	1.01011	10.76159	4.71601	0.86501	1.49916	1.14906	1.47015	1.11156	1.11949	1.84058	11.16151	0.81414	1.70674	7.01057	5.6884	6.91017	5.99144	61.61111	11.76581
k__Bacteria|p__Actinobacteria	0.94161	0.09148	0.19557	1.75715	0.11596	0.00187	0.7115	0.18145	0.10561	0.01585	1.10914	0.99619	9.01601	0.59818	0.71114	11.46194	0.64551	5.04111	1.10719	1.56816
k__Bacteria|p__Synergistetes	0.01584	0.01791	0	0	0	0	0	0.01111	0.01101	0	0.00179	0	0	0.01861	0.01575	0	0.01916	0.00841	0	0
k__Bacteria|p__Lentisphaerae	0.01166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	0.00645	0.00581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	61.76155	78.79787	10.41675	49.11168	60.61085	47.94411	17.14161	67.57969	71.51188	15.5546	46.64944	19.11567	7.19856	65.11571	16.01451	14.01415	58.11791	10.48017	1.65587	1.18157
k__Bacteria|p__Firmicutes|c__Clostridia	18.86011	11.11747	51.15155	41.16491	16.60007	15.76899	11.74617	11.41869	16.75196	51.18564	41.50749	16.10641	79.09161	15.17914	46.65148	11.5769	19.7674	59.79879	18.98919	16.6948
k__Bacteria|p__Firmicutes|c__Negativicutes	0.88179	1.14469	11.97115	1.17114	1.1571	11.46668	4.11771	1.65654	5.11854	1.8178	1.04667	6.15979	0.14151	1.15978	6.91101	10.07715	1.18418	1.44066	8.14196	0.18187
k__Bacteria|p__Actinobacteria|c__Actinomycetia	0.75144	0.01049	0.01111	1.15178	0.07674	0.00187	0.10814	0	0.09896	0	1.14051	0.09907	0.67868	0.45908	0.17515	9.67111	0.46018	1.56897	1.69411	1.19611
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.74811	0.76614	1.55516	0.19141	0.1814	0.11894	0.01766	0.88068	0.01968	0.09001	1.1159	6.08079	0.47187	0.00816	1.44851	5.07161	1.78471	1.41401	57.01191	11.68959
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.57655	0.1894	9.11115	4.19716	0.47646	0.68111	1.15719	0.40598	0.98986	1.47114	0	4.68159	0.01885	1.01111	1.6695	0.10146	1.68151	1.74756	1.17087	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.161	0.06458	0.07708	0.09119	0.07658	1.18597	0.0641	0	0.10754	0.55711	0.00611	0.18747	0	0.5918	1.81098	0.1511	1.45191	0.71611	1.11641	0.04151
k__Bacteria|p__Firmicutes|c__CFGB9989	0.10668	0	0	0	0	0	0	0.07598	0	0	0	0	0	0	0	1.95111	0.06791	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2889	0.19794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01501	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.19191	0.05415	0.15759	0.64157	0.15115	0.64078	1.11591	0.06541	0.65911	0.19147	1.11111	0.1184	1.18801	0.11461	0.19567	0.87151	0.18515	0.10594	0.11014	0.11007
k__Bacteria|p__Firmicutes|c__CFGB3068	0.18066	0.011	0	0	0	0	0	0.0064	0	0	0.16996	0	0	0.08567	0.06144	0.81817	0.55104	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB3069	0.17846	0	0	0	0	0	0	0	0	0	0	0	0.0011	0.00899	0	1.05141	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.11176	0.08199	0.17415	0.40517	0.18604	0	0.41516	0.18145	0.10665	0.01585	0.06861	0.89711	8.15711	0.01704	0.54679	1.78811	0.18514	1.47116	0.61116	1.17116
k__Bacteria|p__Firmicutes|c__CFGB32970	0.1101	0	0	0	0.06117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1507	0.07514	0.05511	0	0.46657	0	0.01664	0	0.01174	0	0	0.00814	0.01411	0	0.01666	0.16181	0	0.1159	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	0.07151	0.01715	0.14111	0.01111	0.06901	0.11749	0.01401	0.11061	0.01066	0.15841	1.07111	0.06566	0.11106	0.01117	0.00481	0.0901	0.45174	5.49918	4.70118	51.08717
k__Bacteria|p__Actinobacteria|c__CFGB12107	0.05641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB38642	0.01145	0.00516	0	0	0.01911	0	0	0.11881	0	0.01181	0	0	1.4595	0.00195	0	0.89111	0.0581	0.00846	0	0
k__Bacteria|p__Firmicutes|c__CFGB15212	0.01808	0	0	0	0	0	0	0.00111	0	0.0005	0	0	0	0	0	0.01119	0	0.15765	0	0
k__Bacteria|p__Firmicutes|c__CFGB2932	0.01691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia	0.01584	0.01791	0	0	0	0	0	0.01111	0.01101	0	0.00179	0	0	0.01861	0.01575	0	0.01916	0.00841	0	0
k__Bacteria|p__Lentisphaerae|c__CFGB2345	0.01166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1227	0.01417	0.00786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.01151	0	0	0	0	0	0	0.00118	0.01161	0	0	0	0.00548	0.00119	0.01107	0.00071	0.01681	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1126	0.01118	0.01814	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.00811	0	0	0	0	0	0	0	0	0.01011	0.08187	0	0.01196	0	0	0.0044	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2954	0.00716	0	0	0	0	0	0	0.0085	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	0.00645	0.00581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1538	0.00566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2982	0.00069	0	0	0	0	0	0	0.09519	0	0.08111	0	0	0	0.09585	0	0.11118	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	61.76155	78.79787	10.41675	49.11168	60.61085	47.94411	17.14161	67.57969	71.51188	15.5546	46.64944	19.11567	7.19856	65.11571	16.01451	14.01415	58.11791	10.48017	1.65587	1.18157
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	18.01851	11.91117	51.11517	41.16491	16.41788	14.71111	10.78117	11.96011	16.65154	51.14518	41.10089	15.74078	77.80169	15.11178	44.06919	11.77011	19.51881	59.75956	18.98748	16.6948
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.88179	1.14469	1.77119	0	0.99105	4.11811	1.10886	1.16006	1.50576	1.17051	1.07464	1.18961	0.05119	1.15115	6.90411	1.11018	1.15151	0.11745	0.6854	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	0.81171	0.16715	0.11574	0	0.08597	1.04666	0.16	0.47858	0.09941	0.01111	0.0499	0.11714	0.54888	0.07054	0.1481	0.01665	0.09519	0.01911	0.00181	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.59757	0	0.00118	1.11611	0.04615	0.00187	0.10814	0	0.01911	0	1.07114	0	0.00111	0.45908	0.17515	9.51516	0.01966	1.41155	0.40581	1.10041
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.57655	0.1894	9.11115	4.19716	0.47646	0.68111	1.15719	0.40598	0.98986	1.47114	0	4.68159	0.01885	1.01111	1.6695	0.10146	1.68151	1.74756	1.17087	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0.19014	0.15817	0	0	0	0	0	0.69117	0	0	0	0.9518	0	0	0.19141	0.87145	0.00795	0.56515	0	0.01959
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.161	0.06458	0.07708	0.09119	0.07658	1.18597	0.0641	0	0.10754	0.55711	0.00611	0.18747	0	0.5918	1.81098	0.1511	1.45191	0.71596	1.11641	0.04151
