sample	SampleID	Group
A1	A1	A
A2	A2	A
A3	A3	A
A4	A4	A
A5	A5	A
A6	A6	A
A7	A7	A
A8	A8	A
A9	A9	A
A10	A10	A
A11	A11	A
A12	A12	A
A13	A13	A
A14	A14	A
A15	A15	A
A16	A16	A
A17	A17	A
A18	A18	A
A19	A19	A
A20	A20	A
A21	A21	A
A22	A22	A
A23	A23	A
A24	A24	A
A25	A25	A
A26	A26	A
A27	A27	A
A28	A28	A
A29	A29	A
A30	A30	A
A31	A31	A
A32	A32	A
A33	A33	A
A34	A34	A
A35	A35	A
A36	A36	A
A37	A37	A
A38	A38	A
A39	A39	A
A40	A40	A
A41	A41	A
A42	A42	A
A43	A43	A
A44	A44	A
A45	A45	A
A46	A46	A
A47	A47	A
A48	A48	A
A49	A49	A
A50	A50	A
A51	A51	A
A52	A52	A
A53	A53	A
A54	A54	A
A55	A55	A
A56	A56	A
A57	A57	A
A58	A58	A
A59	A59	A
A60	A60	A
A61	A61	A
A62	A62	A
A63	A63	A
A64	A64	A
A65	A65	A
A66	A66	A
A67	A67	A
A68	A68	A
A69	A69	A
A70	A70	A
A71	A71	A
A72	A72	A
A73	A73	A
A74	A74	A
A75	A75	A
A76	A76	A
A77	A77	A
A78	A78	A
A79	A79	A
A80	A80	A
A81	A81	A
A82	A82	A
A83	A83	A
A84	A84	A
A85	A85	A
A86	A86	A
A87	A87	A
A96	A96	A
A97	A97	A
A98	A98	A
A99	A99	A
A100	A100	A
C1	C1	C
C2	C2	C
C3	C3	C
C4	C4	C
C5	C5	C
C6	C6	C
C7	C7	C
C8	C8	C
C9	C9	C
C10	C10	C
C11	C11	C
C12	C12	C
C13	C13	C
C14	C14	C
C15	C15	C
C16	C16	C
C17	C17	C
C18	C18	C
C19	C19	C
C20	C20	C
C21	C21	C
C22	C22	C
C23	C23	C
C24	C24	C
C25	C25	C
C26	C26	C
C27	C27	C
C28	C28	C
C29	C29	C
C30	C30	C
C31	C31	C
C32	C32	C
C33	C33	C
C34	C34	C
C35	C35	C
C36	C36	C
C37	C37	C
C38	C38	C
C39	C39	C
C40	C40	C
C41	C41	C
C42	C42	C
C43	C43	C
C44	C44	C
C45	C45	C
C46	C46	C
C47	C47	C
C48	C48	C
C49	C49	C
C50	C50	C
B1	B1	B
B2	B2	B
B3	B3	B
B4	B4	B
B9	B9	B
B10	B10	B
B11	B11	B
B12	B12	B
B13	B13	B
B14	B14	B
B15	B15	B
B16	B16	B
B17	B17	B
B18	B18	B
B19	B19	B
B20	B20	B
B21	B21	B
B22	B22	B
B23	B23	B
B24	B24	B
B25	B25	B
B26	B26	B
B27	B27	B
B28	B28	B
B29	B29	B
B30	B30	B
B31	B31	B
B32	B32	B
B33	B33	B
B34	B34	B
B35	B35	B
B36	B36	B
B37	B37	B
B38	B38	B
B39	B39	B
B40	B40	B
B41	B41	B
B42	B42	B
B43	B43	B
B44	B44	B
B45	B45	B
B46	B46	B
B47	B47	B
B48	B48	B
B49	B49	B
B50	B50	B
B51	B51	B
B52	B52	B
B53	B53	B
B54	B54	B
B55	B55	B
B56	B56	B
B57	B57	B
B58	B58	B
B59	B59	B
B60	B60	B
B61	B61	B
B62	B62	B
B63	B63	B
B64	B64	B
B65	B65	B
