,Healthy01,Healthy02,Healthy03,Healthy04,Healthy05,Healthy06,Healthy07,Healthy08,Healthy09,Healthy10,Patients01,Patients02,Patients03,Patients04,Patients05,Patients06,Patients07,Patients08,Patients09,Patients10
Abiotrophia_defectiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abiotrophia_sp_HMSC24B09,0,0,0,0,0,0,0,0,0,0,0,0,0.00458,0,0,0,0,0.00673,0.01102,0
Absicoccus_porci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achromobacter_insolitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636
Achromobacter_ruhlandii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02492
Acidaminococcus_fermentans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus_intestini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus_provencensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus_SGB42794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus_SGB5735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97828
Acinetobacter_gerneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_pseudolwoffii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_schindleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_SGB14792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_SGB65105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_soli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter_towneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobaculum_sp_oral_taxon_183,0,0,0,0,0,0,0,0,0,0,0,0,0.00705,0,0,0,0,0,0,0
Actinomyces_bouchesdurhonensis,0,0,0,0,0.00045,0,0,0,0,0,0.01992,0,0,0,0,0.05237,0,0.05002,0,0
Actinomyces_dentalis,0,0,0,0,0,0,0,0,0,0,0,0,0.00349,0,0,0,0.00054,0.00973,0.04552,0
Actinomyces_gerencseriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01959,0
Actinomyces_graevenitzii,0,0,0,0,0.00074,0,0,0,0,0,0,0.00121,0,0,0,0.01034,0,0.0914,0.05367,0
Actinomyces_johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00865,0
Actinomyces_naeslundii,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0.06499,0
Actinomyces_oricola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces_oris,0,0,0,0,0,0,0,0,0,0,0,0,0.00047,0,0,0,0,0.01394,0.04045,0.00415
Actinomyces_SGB17132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05536,0.03456,0
Actinomyces_SGB17154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129,0,0
Actinomyces_SGB17157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01861,0.07219,0
Actinomyces_SGB17163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03257,0.04998,0
Actinomyces_SGB17168,0,0,0,0.01719,0,0,0,0,0,0,0,0.03749,0,0,0,0.03945,0,0.34767,0.04554,0
Actinomyces_sp_HMSC035G02,0,0,0,0,0.0111,0,0,0,0,0,0,0,0,0,0,0.00471,0,0,0,0
Actinomyces_sp_HMT897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04833,0
Actinomyces_sp_ICM47,0,0,0.00475,0.01827,0,0,0,0,0.00593,0,0.00087,0.03955,0.04348,0,0,0.01409,0.00024,0.23968,0.41167,0
Actinomyces_sp_ICM58,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0.02594,0,0.20998,0.16231,0
Actinomyces_sp_Marseille_P3109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E-04,0
