id,net,net_num,malaria_risk,income,health,household,eligible,temperature,resistance
1,TRUE,1,33,781,56,2,FALSE,21.1,59
2,FALSE,0,42,974,57,4,FALSE,26.5,73
3,FALSE,0,80,502,15,3,FALSE,25.6,65
4,TRUE,1,34,671,20,5,TRUE,21.3,46
5,FALSE,0,44,728,17,5,FALSE,19.2,54
6,FALSE,0,25,1050,48,1,FALSE,25.3,34
7,TRUE,1,19,1146,65,3,FALSE,27.4,45
8,FALSE,0,35,1093,75,5,FALSE,29.8,65
9,FALSE,0,32,1037,60,3,FALSE,27.6,55
10,FALSE,0,40,828,36,3,FALSE,21.3,54
11,FALSE,0,30,889,75,6,FALSE,17.4,33
12,TRUE,1,14,1133,62,3,FALSE,18.9,39
13,TRUE,1,31,807,42,4,FALSE,27.6,37
14,FALSE,0,34,950,53,3,FALSE,24,53
15,FALSE,0,22,1195,90,1,FALSE,24.5,34
16,TRUE,1,54,594,29,5,TRUE,25.5,55
17,TRUE,1,23,936,47,2,FALSE,26.1,32
18,FALSE,0,41,816,30,1,FALSE,17.7,73
19,FALSE,0,37,962,55,2,FALSE,26.7,54
20,TRUE,1,65,431,6,6,TRUE,26.8,38
21,FALSE,0,59,760,36,5,FALSE,28.7,51
22,FALSE,0,59,655,30,4,FALSE,23.6,43
23,FALSE,0,41,896,45,3,FALSE,25.9,53
24,TRUE,1,21,1033,64,7,FALSE,23.4,51
25,FALSE,0,25,1115,62,3,FALSE,27.3,33
26,FALSE,0,27,1139,75,4,FALSE,30.7,37
27,TRUE,1,23,967,71,3,FALSE,21.1,52
28,TRUE,1,26,840,37,3,FALSE,17.8,71
29,FALSE,0,35,946,49,2,FALSE,22.7,63
30,FALSE,0,50,698,25,2,FALSE,22.4,39
31,TRUE,1,50,580,37,6,TRUE,20.3,59
32,FALSE,0,50,762,20,5,FALSE,26.2,47
33,TRUE,1,29,894,53,4,FALSE,26.7,52
34,FALSE,0,30,907,40,4,FALSE,20.3,51
35,FALSE,0,66,682,22,1,FALSE,23.2,84
36,TRUE,1,27,829,67,3,FALSE,22.5,31
37,FALSE,0,51,772,41,4,FALSE,24.5,49
38,FALSE,0,48,730,55,2,FALSE,22.9,23
39,FALSE,0,32,984,51,2,FALSE,24.4,56
40,TRUE,1,21,1016,40,2,FALSE,22.7,63
41,FALSE,0,76,641,56,2,FALSE,26.7,68
42,FALSE,0,59,656,41,3,FALSE,27.1,21
43,TRUE,1,21,963,53,3,FALSE,18.7,53
44,TRUE,1,35,840,41,2,FALSE,26.6,70
45,FALSE,0,25,1110,78,2,FALSE,23.2,42
46,TRUE,1,31,737,76,2,FALSE,16.8,45
47,FALSE,0,48,827,52,2,FALSE,25.3,47
48,FALSE,0,52,810,48,3,FALSE,26.3,53
49,TRUE,1,29,857,46,2,FALSE,24,57
50,TRUE,1,13,1307,67,5,FALSE,21.8,66
51,TRUE,1,26,915,56,1,FALSE,25.7,46
52,FALSE,0,39,826,59,3,FALSE,18,50
53,FALSE,0,46,825,41,4,FALSE,18.7,82
54,FALSE,0,52,864,49,1,FALSE,29.8,54
55,FALSE,0,26,1053,64,3,FALSE,22,50
56,FALSE,0,36,822,33,2,FALSE,23.8,29
57,FALSE,0,53,631,15,1,FALSE,18.9,48
58,FALSE,0,27,1000,52,4,FALSE,22.1,45
59,FALSE,0,48,766,60,5,FALSE,20.3,47
60,FALSE,0,37,893,52,2,FALSE,24.6,40
61,FALSE,0,21,1130,55,3,FALSE,22.1,38
62,FALSE,0,19,1222,65,1,FALSE,23,38
63,FALSE,0,35,1036,69,2,FALSE,30.8,45
64,FALSE,0,49,817,35,2,FALSE,23.6,67
65,FALSE,0,61,743,26,4,FALSE,27.7,62
66,FALSE,0,19,1293,82,3,FALSE,25.5,43
67,FALSE,0,36,732,21,4,FALSE,19.6,24
68,FALSE,0,40,869,52,4,FALSE,26.1,36
69,TRUE,1,27,735,31,4,FALSE,18.6,41
70,TRUE,1,14,1194,70,3,FALSE,19.2,49
71,TRUE,1,13,1259,61,4,FALSE,24.9,38
72,FALSE,0,61,763,35,3,FALSE,25.7,76
73,FALSE,0,43,789,43,4,FALSE,21.4,44
74,TRUE,1,15,1235,88,1,FALSE,25.4,31
75,FALSE,0,27,1003,39,3,FALSE,23.5,46
76,FALSE,0,38,796,43,2,FALSE,20.7,34
77,FALSE,0,45,934,64,2,FALSE,28.9,50
78,FALSE,0,24,1047,71,3,FALSE,17.2,51
79,TRUE,1,30,812,44,2,FALSE,24.4,53
80,FALSE,0,26,960,35,1,FALSE,24,25
81,FALSE,0,29,1044,58,2,FALSE,26.7,51
82,FALSE,0,38,927,55,3,FALSE,24.8,52
83,TRUE,1,14,1229,77,3,FALSE,24.4,28
84,FALSE,0,31,1152,83,4,FALSE,31.2,61
85,TRUE,1,13,1270,78,1,FALSE,18.5,59
86,TRUE,1,19,1137,59,3,FALSE,21.1,80
87,FALSE,0,45,704,30,7,FALSE,17.1,50
88,FALSE,0,49,830,44,5,FALSE,27.3,48
89,TRUE,1,58,666,44,5,TRUE,32,49
90,FALSE,0,41,929,37,2,FALSE,30.4,49
91,FALSE,0,24,1041,69,1,FALSE,21.9,22
92,FALSE,0,38,909,67,3,FALSE,27.7,24
93,FALSE,0,43,885,35,2,FALSE,29.1,47
94,FALSE,0,61,765,45,3,FALSE,31.5,39
95,TRUE,1,20,1082,71,2,FALSE,24.4,48
96,FALSE,0,30,781,39,2,FALSE,17.9,18
97,FALSE,0,27,927,56,4,FALSE,19.2,27
98,FALSE,0,27,945,24,1,FALSE,23.4,32
99,TRUE,1,13,1422,97,3,FALSE,25.6,61
100,TRUE,1,26,969,65,3,FALSE,30,32
101,FALSE,0,39,845,35,3,FALSE,25.4,36
102,TRUE,1,20,1106,94,2,FALSE,22.9,49
103,TRUE,1,44,582,36,3,FALSE,19.9,43
104,TRUE,1,20,986,44,6,FALSE,20.9,50
105,FALSE,0,42,902,29,3,FALSE,23.4,80
106,TRUE,1,24,910,53,5,FALSE,25,32
107,FALSE,0,61,711,53,5,FALSE,25.8,43
108,TRUE,1,18,982,51,3,FALSE,18.1,40
109,FALSE,0,30,935,26,3,FALSE,20.1,69
110,FALSE,0,22,1066,55,2,FALSE,20.1,37
111,TRUE,1,15,1211,83,5,FALSE,21.5,46
112,TRUE,1,42,647,30,2,FALSE,20.6,59
113,TRUE,1,30,665,32,1,FALSE,19.2,33
114,FALSE,0,29,1053,64,6,FALSE,21.8,71
115,FALSE,0,34,1008,66,4,FALSE,26.1,57
116,FALSE,0,29,835,13,2,FALSE,20.8,33
117,FALSE,0,45,890,56,3,FALSE,26.3,54
118,FALSE,0,43,917,43,6,FALSE,30.7,45
119,TRUE,1,13,1220,71,3,FALSE,17.7,52
120,TRUE,1,23,961,43,2,FALSE,25.6,46
121,FALSE,0,33,913,59,3,FALSE,18.2,63
122,TRUE,1,40,663,40,2,FALSE,25.3,29
123,FALSE,0,33,861,49,2,FALSE,20.2,40
124,TRUE,1,24,958,30,2,FALSE,28.6,44
125,TRUE,1,58,592,40,2,FALSE,30.3,34
126,FALSE,0,32,1002,69,7,FALSE,28.5,33
127,TRUE,1,24,959,65,2,FALSE,22.8,47
128,FALSE,0,46,826,40,1,FALSE,26.2,46
129,FALSE,0,57,695,44,2,FALSE,29.6,12
130,FALSE,0,23,1261,91,4,FALSE,26.3,62
131,TRUE,1,14,1274,62,3,FALSE,24.1,51
132,TRUE,1,32,854,48,5,FALSE,22.5,81
133,TRUE,1,16,1246,81,3,FALSE,24,57
134,TRUE,1,27,859,51,4,FALSE,23.8,41
135,FALSE,0,29,1176,79,3,FALSE,26.1,87
136,FALSE,0,43,1048,55,3,FALSE,29.5,87
137,TRUE,1,14,1222,73,4,FALSE,23.5,31
138,FALSE,0,28,1166,57,4,FALSE,32.1,54
139,FALSE,0,40,726,39,6,FALSE,15.6,45
140,FALSE,0,39,942,60,3,FALSE,26.2,50
141,FALSE,0,42,794,54,2,FALSE,18.2,51
142,TRUE,1,15,1046,59,3,FALSE,16.4,30
143,FALSE,0,39,887,52,1,FALSE,23.3,52
144,FALSE,0,30,1067,55,2,FALSE,25.8,72
145,FALSE,0,49,758,43,4,FALSE,22.5,45
146,FALSE,0,55,707,47,2,FALSE,22.1,45
147,FALSE,0,39,873,44,2,FALSE,19.9,67
148,TRUE,1,22,1142,83,1,FALSE,28.4,60
149,FALSE,0,30,920,45,2,FALSE,26.1,25
150,TRUE,1,20,998,40,4,FALSE,21.3,51
151,TRUE,1,22,1124,60,4,FALSE,26.9,71
152,FALSE,0,44,852,41,3,FALSE,22.1,67
153,TRUE,1,19,1051,71,2,FALSE,18.3,53
154,FALSE,0,24,1080,71,2,FALSE,18.4,58
155,TRUE,1,11,1396,97,1,FALSE,23.6,31
156,TRUE,1,44,750,42,2,FALSE,29.2,52
157,TRUE,1,12,1226,73,3,FALSE,17.7,34
158,FALSE,0,42,785,34,2,FALSE,22.1,41
159,FALSE,0,60,718,23,3,FALSE,25.9,61
