sample	Group	sample_new
Y1	Y	Y1
Y2	Y	Y2
Y3	Y	Y3
Y4	Y	Y4
Y5	Y	Y5
Y6	Y	Y6
Y7	Y	Y7
Y8	Y	Y8
Y9	Y	Y9
Y10	Y	Y10
Y11	Y	Y11
Y12	Y	Y12
Y13	Y	Y13
Y14	Y	Y14
Y15	Y	Y15
Y16	Y	Y16
Y17	Y	Y17
Y18	Y	Y18
Y19	Y	Y19
Y20	Y	Y20
Y21	Y	Y21
Y22	Y	Y22
Y23	Y	Y23
Y24	Y	Y24
Y25	Y	Y25
Y26	Y	Y26
Y27	Y	Y27
Y28	Y	Y28
Y29	Y	Y29
Y30	Y	Y30
Y31	Y	Y31
Y32	Y	Y32
Y33	Y	Y33
Y34	Y	Y34
Y35	Y	Y35
Y36	Y	Y36
Y37	Y	Y37
Y38	Y	Y38
Y39	Y	Y39
Y40	Y	Y40
Y41	Y	Y41
Y42	Y	Y42
Y43	Y	Y43
Y44	Y	Y44
Y45	Y	Y45
Y46	Y	Y46
Y47	Y	Y47
Y48	Y	Y48
Y49	Y	Y49
Y50	Y	Y50
