"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","zero_counts","sample_percent"
"Species01",0.00042927666881305,0.00326297542571633,0.00125509883903357,0.00110545035086033,0.0018018018018018,0.00267705037722073,0.0023936170212766,0.000923894214112484,0.00350121195798546,0.00374598644309668,0.000672193591754425,0.00243356371069795,0.000499944450616598,0.00196887305456591,0.00107427869858809,0.00318471337579618,0.000871839581517001,0.00189978627404417,0.00257140233262926,0.00214930505803124,0.000922659430122117,0.00173224449393714,0.000937793060331354,0.00381922342457034,0.0039853869146463,0.00158547131738253,0.00258868648130393,0.0028502521376891,0.00154053533602927,0.00666481532907526,0,1
"Species02",0.00236102167847177,0.00387478331803814,0.00878569187323502,0.000961261174661155,0.0033033033033033,0.000973472864443904,0.0023936170212766,0.00311814297262963,0.00302989496364126,0.000624331073849447,0.00179251624467847,0.00428307213082839,0.00222197533607377,0.00206262891430714,0.00245549416820135,0.00207006369426752,0.000290613193839,0.00189978627404417,0.00183671595187804,0.00415532311219372,0.00130257801899593,0.000433061123484286,0.00140668959049703,0.00327362007820315,0.0039853869146463,0.0018737388296339,0.00191754554170662,0.00241175180881386,0.00125168496052378,0.00351754142367861,0,1
"Species03",0.00364885168491093,0.00866727847455899,0.00983160757242966,0.00129770258579256,0.00135135135135135,0.00279873448527622,0.00212765957446809,0.00531239173114678,0.00599245892809049,0.000713521227256511,0.00380909701994174,0.0146987248126156,0.00133318520164426,0.0134070879429964,0.00567833026396562,0.00398089171974522,0.003487358326068,0.00569935882213251,0.0086325649738268,0.0130391173520562,0.00447761194029851,0.00154664686958674,0.0034385745545483,0.00472856233518232,0.0116240451677184,0.00360334390314212,0.00805369127516779,0.00624862968647226,0.00365877142306952,0.00462834397852448,0,1
"Species04",0.00300493668169135,0.00611807892321811,0.0128647631000941,0.000913198115928098,0.0132132132132132,0.0109515697249939,0.00664893617021277,0.00739115371289987,0.0021545919741449,0.0249732429539779,0.00515348420345059,0.000486712742139589,0.000833240751027664,0.00487530470654416,0.00383670963781461,0.00143312101910828,0.003777971519907,0.011398717644265,0.00679584902194876,0.00243587906576873,0.000814111261872456,0.00191784211828755,0.00187558612066271,0.00809311630444667,0.00597808037196945,0.00634188526953012,0.00239693192713327,0.00350800263100197,0.00317735413056037,0.00583171341294085,0,1
"Species05",0.0025756600128783,0.00244723156928724,0.00303315552766447,0.00110545035086033,0.0012012012012012,0.00255536626916525,0.00372340425531915,0.00692920660584363,0.00154861298141664,0.00205137352836247,0.0026887743670177,0.00360167429183296,0.000666592600822131,0.00168760547534221,0.00153468385512584,0.00445859872611465,0.00290613193839,0.000949893137022085,0.00339792451097438,0.00429861011606247,0.000407055630936228,0.000866122246968572,0.00328227571115974,0.00218241338546876,0.0039853869146463,0.0148457768809455,0.00364333652924257,0.00208287656215742,0.0016368187945311,0.00342497454410812,0,1
"Species06",0.000643915003219575,0.00285510349750178,0.00386988808702019,0.000480630587330578,0.00165165165165165,0.0020686298369433,0.00345744680851064,0.000692920660584363,0.00175060597899273,0.000624331073849447,0.000448129061169617,0.00126545312956293,0.000222197533607377,0.000843802737671104,0.000613873542050338,0.00254777070063694,0.000290613193839,0.000949893137022085,0.000459178987969511,0.00128958303481874,8.14111261872456e-05,0.000866122246968572,0.00171928727727415,0.00127307447485678,0.000996346728661574,0.00201787258575958,0.000958772770853308,0.0018636263977198,0.000673984209512806,0.00231417198926224,0,1
"Species07",0.0017171066752522,0.00499643112062812,0.00742600146428198,0.002499279054119,0.00803303303303303,0.0120467266974933,0.00531914893617021,0.00450398429379836,0.00262590896848909,0.0120406707099536,0.00134438718350885,0.00194685096855836,0.00122208643484057,0.00159384961560097,0.00429711479435236,0.00366242038216561,0.004068584713746,0.010923771075754,0.00477546147488291,0.00472847112766872,0.00143826322930801,0.00451620885919327,0.0034385745545483,0.0142766208966082,0.0053138492195284,0.00417987892764485,0.00115052732502397,0.0047138785354089,0.00298478721355671,0.00759048412478015,0,1
"Species08",0.00321957501609787,0.00142755174875089,0.00135969040895304,0.0012496395270595,0.00172672672672673,0.00474568021416403,0.00372340425531915,0.000808407437348424,0.0016832749798007,0.000802711380663575,0.0112032265292404,0.00467244232454006,0.00127763581824242,0.00271891993249578,0.00138121546961326,0.00207006369426752,0,0.000949893137022085,0.000459178987969511,0.00415532311219372,0.000407055630936228,0.000371195248700817,0.00328227571115974,0.000727471128489588,0.000996346728661574,0.00129720380513116,0.00364333652924257,0.00208287656215742,0.00356248796456769,0.00212903823012126,1,0.966667
"Species09",0.0345567718394505,0.0530233506678903,0.0657880974793432,0.00692108045756032,0.0557807807807808,0.0764176198588464,0.100797872340426,0.0605150710243677,0.0162941018044708,0.0385301462718516,0.063186197624916,0.205003406989195,0.00911009887790246,0.0340333770860679,0.0302332719459791,0.0152866242038217,0.0557977332170881,0.0398955117549276,0.0357241252640279,0.106462243874481,0.0101221166892809,0.0756000989853997,0.0187558612066271,0.0378284986814586,0.106941215543009,0.0194580570769674,0.0147651006711409,0.0428634071475554,0.0582514923936068,0.044802369712117,0,1
"Species10",0,0,0,0,0,0,0,0,0.000471316994344196,0,0,0,0.000166648150205533,0,0,0,0,0,0,0.000859722023212495,0,0,0,0,0,0,0,0,0,0,27,0.1
"Species11",0.0008585533376261,0.000305903946160905,0.00104591569919465,0.000192252234932231,0.00307807807807808,0.000730104648332928,0.00159574468085106,0.000692920660584363,0.000538647993536224,0,0.000672193591754425,0.000778740387423343,0,0.00243765235327208,0.000460405156537753,0.00286624203821656,0.000871839581517001,0.00142483970553313,0.00156120855909634,0.00229259206189999,0.000298507462686567,0,0.00187558612066271,0.00100027280167318,0.0039853869146463,0.000144133756125685,0.00115052732502397,0.000328875246656435,0.000577700751010976,0.00129593631398686,3,0.9
"Species12",0,0,0,0.000480630587330578,0,0,0,0,0.00114462698626448,0,0,0,0,0.00337521095068442,0,0,0,0,0.000367343190375608,0,0.000515603799185889,0,0,0.00190961171228517,0,0,0.00172579098753595,0.00219250164437623,0,0.00120336943441637,21,0.3
"Species13",0,0,0.00313774709758393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000217096336499322,0,0,0,0.00199269345732315,0,0,0,0,0,27,0.1
"Species14",0.00193174500965873,0.011726317936168,0,0.000336441411131404,0,0,0.00106382978723404,0.00288716941910151,0.00302989496364126,0.00115947199429183,0.00246470983643289,0.00204419351698627,0.00199977780246639,0.000468779298706169,0.00168815224063843,0.00318471337579618,0.000871839581517001,0,0.00192855174947194,0.00114629603094999,0.000189959294436906,0.000433061123484286,0.00250078149421694,0.00227334727652996,0.00166057788110262,0.00172960507350822,0.00191754554170662,0.00306950230212673,0.00182938571153476,0.00222160510969175,4,0.866667
"Species15",0.00279029834728483,0.00152951973080453,0.00167346511871143,0.000384504469864462,0.00015015015015015,0.00133852518861037,0.00106382978723404,0.00404203718674212,0.00242391597091301,0,0.00134438718350885,0.00204419351698627,0.000222197533607377,0.00243765235327208,0.000460405156537753,0.000636942675159236,0.000581226387678001,0,0.0044081182845073,0.00143287003868749,0.000108548168249661,0.000309329373917347,0.00156298843388559,0.00118214058379558,0.000996346728661574,0.00201787258575958,0.00210930009587728,0.00295987721990791,0.00231080300404391,0.0017587707118393,2,0.933333
"Species16",0,0.0020393596410727,0.00135969040895304,0.000576756704796693,7.50750750750751e-05,0.000851788756388416,0.000265957446808511,0.00473495784732648,0.0021545919741449,0,0.000448129061169617,0.000584055290567507,0.000611043217420287,0.00281267579223701,0.00138121546961326,0.00286624203821656,0.000290613193839,0.000474946568511043,0.00211222334465975,0.00143287003868749,0.000108548168249661,0.000494926998267755,0.000937793060331354,0.00100027280167318,0.000332115576220525,0.0018737388296339,0.00115052732502397,0.00164437623328217,0.00202195262853842,0.000647968156993428,2,0.933333
"Species17",0.214638334406525,0.282961150198838,0.243907541052191,0.555224454484283,0.508933933933934,0.472377707471404,0.194946808510638,0.206605843630904,0.107527605709669,0.506600071352123,0.299350212861304,0.157500243356371,0.0591600933229641,0.122820176261016,0.408379373848987,0.0923566878980892,0.215634989828538,0.302303490857279,0.31371108458077,0.134833070640493,0.0532428765264586,0.14711705023509,0.255079712410128,0.369919068836956,0.205247426104284,0.135341597002018,0.105177372962608,0.175619381714536,0.157712305025997,0.390632231787466,0,1
"Species18",0.0133075767332046,0.0216172121953707,0.024997385210752,0.0198500432567529,0.0228978978978979,0.0170357751277683,0.0159574468085106,0.00843053470377642,0.00700242391597091,0.0346949696753478,0.0132198073045037,0.0246276647522632,0.0151649816687035,0.0206262891430714,0.0121240024554942,0.0189490445859873,0.013658820110433,0.0130610306340537,0.0195610248875011,0.0356784639633185,0.00455902306648575,0.0081044295966345,0.00593935604876524,0.0230972083295444,0.019594818997011,0.00763908907466129,0.0169702780441035,0.00887963165972375,0.0141536683997689,0.0332315097658058,0,1
"Species19",0.00150246834084568,0.00632201488732538,0.00564794477565108,0.00120157646832644,0.0051051051051051,0.00170357751277683,0.00345744680851064,0.00727566693613581,0.00282790196606518,0.00205137352836247,0.00224064530584808,0.00428307213082839,0.00144428396844795,0.00206262891430714,0.00306936771025169,0.00429936305732484,0.002615518744551,0.00379957254808834,0.00211222334465975,0.0103166642785499,0.000271370420624152,0.00686711210096511,0.00218818380743982,0.00909338910611985,0.0109598140152773,0.00245027385413664,0.00239693192713327,0.00449462837097128,0.00336992104756403,0.0062945478107933,0,1
"Species20",0.0017171066752522,0.00193739165901907,0.00198723982846983,0.000769008939728924,0.0015015015015015,0.00146020929666586,0.00159574468085106,0.00288716941910151,0.00181793697818476,0.00107028184088477,0.00134438718350885,0.00515915506667965,0.000111098766803688,0.00178136133508344,0.000920810313075506,0.000636942675159236,0.000290613193839,0.00166231298978865,0.0043162824869134,0.00257916606963748,0.000352781546811398,0.000123731749566939,0.00109409190371991,0.00163681003910157,0.0013284623048821,0.00158547131738253,0.00172579098753595,0.0028502521376891,0.00269593683805122,0.00305470702582616,0,1
"Species21",0.000214638334406525,0.00652595085143265,0.00366070494718126,0.000336441411131404,0.00315315315315315,0.00133852518861037,0.00132978723404255,0.00242522231204527,0.00067330999192028,0.00231894398858366,0.00179251624467847,0.00204419351698627,0.000499944450616598,0.00168760547534221,0.000460405156537753,0.00159235668789809,0.000581226387678001,0.00261220612681073,0.00596932684360364,0.00687777618569996,0.000434192672998643,0.00204157386785449,0.00109409190371991,0.00391015731563154,0.00199269345732315,0.0018737388296339,0.00258868648130393,0.00208287656215742,0.00250336992104756,0.00416550958067204,0,1
