Species	Group	Prevalence	RA
Species01	A	0.86	0.026520629
Species02	A	0.75	0.020718328
Species03	A	0.73	0.016391034
Species04	A	0.69	0.200778696
Species05	A	0.54	0.006337278
Species06	A	0.52	0.005730627
Species07	A	0.45	0.008283192
Species08	A	0.43	0.031333377
Species09	A	0.42	0.010140571
Species10	A	0.33	0.082175417
Species11	A	0.29	0.008466213
Species12	A	0.27	0.018787424
Species13	A	0.25	0.049341312
Species14	A	0.22	0.008661531
Species15	A	0.21	0.010094684
Species16	A	0.19	0.006459931
Species17	A	0.16	0.039192013
Species18	A	0.15	0.020621595
Species19	A	0.13	0.005908556
Species20	A	0.11	0.009086816
Species21	A	0.09	0.040681698
Species01	B	0.86	0.011568564
Species02	B	0.72	0.030256423
Species03	B	0.71	0.013210179
Species04	B	0.69	0.158832662
Species05	B	0.54	0.005429315
Species06	B	0.52	0.007956449
Species07	B	0.41	0.008379985
Species08	B	0.43	0.02159249
Species09	B	0.42	0.014286711
Species10	B	0.31	0.047334504
Species11	B	0.29	0.006805103
Species12	B	0.26	0.012518367
Species13	B	0.25	0.059645572
Species14	B	0.22	0.00874842
Species15	B	0.21	0.020509835
Species16	B	0.16	0.006086843
Species17	B	0.16	0.051834465
Species18	B	0.15	0.014254753
Species19	B	0.12	0.009482966
Species20	B	0.11	0.012897945
Species21	B	0.09	0.049725847
Species01	C	0.43	0.01002126
Species02	C	0.42	0.038658576
Species03	C	0.33	0.01140968
Species04	C	0.29	0.106243973
Species05	C	0.27	0.009027526
Species06	C	0.25	0.008171933
Species07	C	0.22	0.011519541
Species08	C	0.21	0.019538482
Species09	C	0.19	0.013584725
Species10	C	0.16	0.049810795
Species11	C	0.15	0.003581165
Species12	C	0.13	0.011001567
Species13	C	0.11	0.068855411
Species14	C	0.09	0.005928936
Species15	C	0.86	0.013846968
Species16	C	0.72	0.004936525
Species17	C	0.71	0.05238073
Species18	C	0.69	0.020773808
Species19	C	0.54	0.014760747
Species20	C	0.52	0.014056721
Species21	C	0.41	0.04342146
