X_features	Y_features	association
X0	Y0	0.758751501
X0	Y1	0.47515006
X0	Y2	0.163985594
X0	Y3	0.129219688
X0	Y4	0.181368547
X0	Y5	0.180216086
X0	Y6	-0.032797119
X0	Y7	-0.253301321
X0	Y8	0.005234094
X0	Y9	-0.069483794
X0	Y10	-0.128643457
X0	Y11	0.018103241
X0	Y12	-0.315342137
X0	Y13	-0.124321729
X0	Y14	-0.205378151
X0	Y15	-0.192412965
X1	Y0	0.486002401
X1	Y1	0.617671068
X1	Y2	0.25032413
X1	Y3	0.284417767
X1	Y4	0.23755102
X1	Y5	0.282977191
X1	Y6	-0.081104442
X1	Y7	-0.096566627
X1	Y8	-0.049219688
X1	Y9	0.150348139
X1	Y10	0.058439376
X1	Y11	0.20422569
X1	Y12	0.007923169
X1	Y13	-0.036830732
X1	Y14	-0.258967587
X1	Y15	-0.221032413
X2	Y0	0.521632653
X2	Y1	0.558127251
X2	Y2	0.534789916
X2	Y3	0.110876351
X2	Y4	0.064393758
X2	Y5	0.122112845
X2	Y6	-0.019927971
X2	Y7	-0.070156062
X2	Y8	0.016086435
X2	Y9	0.076110444
X2	Y10	0.019543818
X2	Y11	0.168403361
X2	Y12	0.029531813
X2	Y13	0.079183673
X2	Y14	-0.087539016
X2	Y15	-0.030684274
X3	Y0	0.048163265
X3	Y1	0.034237695
X3	Y2	0.011956783
X3	Y3	0.636590636
X3	Y4	0.432605042
X3	Y5	0.342328932
X3	Y6	-0.127779112
X3	Y7	-0.073901561
X3	Y8	0.058439376
X3	Y9	0.101272509
X3	Y10	0.03635054
X3	Y11	0.009267707
X3	Y12	-0.056902761
X3	Y13	-0.187034814
X3	Y14	-0.031932773
X3	Y15	-0.189339736
X4	Y0	0.218823529
X4	Y1	0.183769508
X4	Y2	0.050372149
X4	Y3	0.477454982
X4	Y4	0.600384154
X4	Y5	0.548811525
X4	Y6	0.058439376
X4	Y7	-0.064105642
X4	Y8	0.11759904
X4	Y9	0.216038415
X4	Y10	0.14362545
X4	Y11	0.093013205
X4	Y12	0.046242497
X4	Y13	0.025786315
X4	Y14	0.151692677
X4	Y15	0.044801921
X5	Y0	0.289411765
X5	Y1	0.341368547
X5	Y2	0.219303721
X5	Y3	0.309387755
X5	Y4	0.423577431
X5	Y5	0.634477791
X5	Y6	0.208547419
X5	Y7	0.121152461
X5	Y8	0.224297719
X5	Y9	0.293637455
X5	Y10	0.144009604
X5	Y11	0.148139256
X5	Y12	0.116254502
X5	Y13	0.063145258
X5	Y14	0.146122449
X5	Y15	0.154285714
