OTUID	All	KO	OE	WT
ASV_61	0.270892	0.2537988	0.2530195	0.3058586
ASV_67	0.281207	0.1030705	0.6304345	0.1101161
ASV_64	0.247581	0.3194862	0.1690226	0.2542353
ASV_69	0.239017	0.56045147	0.07416442	0.08243458
ASV_77	0.252706	0.1840863	0.2872483	0.2867834
ASV_66	0.245111	0.1667259	0.3367722	0.2318335
ASV_68	0.236679	0.2318639	0.2387557	0.2394159
ASV_72	0.235806	0.1823537	0.1967152	0.3283480
ASV_73	0.229535	0.4010433	0.1229308	0.1646311
ASV_70	0.232173	0.3344136	0.1904647	0.1716394
ASV_2157	0.230388	0.1528333	0.3460249	0.1923046
ASV_79	0.224981	0.3240916	0.1672138	0.1836388
ASV_74	0.226258	0.2404175	0.2295921	0.2087657
ASV_81	0.218315	0.2011607	0.2004634	0.2533199
ASV_427	0.213334	0.1773768	0.1659854	0.2966394
ASV_76	0.210377	0.1830785	0.1668238	0.2812284
ASV_75	0.210126	0.1741466	0.2098041	0.2464277
ASV_80	0.208656	0.1758623	0.2798674	0.1702380
ASV_86	0.201166	0.1293772	0.1832019	0.2909203
ASV_84	0.198316	0.2504883	0.1698977	0.1745610
ASV_78	0.197944	0.1965101	0.1752395	0.2220834
ASV_83	0.19074	0.2548435	0.1201171	0.1972601
ASV_87	0.191899	0.2262816	0.1903197	0.1590970
ASV_85	0.188447	0.2679256	0.1443162	0.1530977
ASV_93	0.183717	0.1133730	0.1492636	0.2885148
ASV_89	0.185475	0.1299366	0.2154514	0.2110379
ASV_88	0.184389	0.3400087	0.1514633	0.0616953
ASV_91	0.186963	0.22947374	0.27827845	0.05313597
ASV_102	0.180147	0.1860248	0.1672597	0.1871566
ASV_92	0.177453	0.1715487	0.1680024	0.1928090
ASV_114	0.173809	0.2021746	0.1316677	0.1875856
ASV_94	0.169892	0.2251694	0.1394380	0.1450681
ASV_100	0.171883	0.2302198	0.1669589	0.1184718
ASV_101	0.175717	0.1446892	0.2304246	0.1520364
ASV_104	0.169447	0.2175897	0.1411198	0.1496307
ASV_97	0.166456	0.2120400	0.1168194	0.1705072
ASV_96	0.165765	0.2482905	0.1263880	0.1226160
ASV_110	0.164942	0.1678413	0.1408171	0.1861668
ASV_98	0.160482	0.2113165	0.1228257	0.1473040
ASV_106	0.164185	0.07870208	0.27441833	0.13943479
ASV_109	0.161278	0.06760203	0.17886192	0.23737035
ASV_99	0.156218	0.1445808	0.1461031	0.1779709
ASV_284	0.156835	0.1702853	0.1816091	0.1186092
ASV_113	0.1549	0.1581878	0.1654971	0.1410147
ASV_2325	0.154591	0.1315269	0.1831011	0.1491456
ASV_105	0.149589	0.23598627	0.11500573	0.09777564
ASV_193	0.153902	0.1216302	0.1679096	0.1721653
ASV_103	0.151005	0.1925486	0.1156615	0.1448060
ASV_108	0.152504	0.1449234	0.1889550	0.1236332
ASV_621	0.153446	0.1048106	0.2421791	0.1133480
ASV_107	0.14821	0.1788833	0.1376495	0.1280986
ASV_658	0.151147	0.06073734	0.22667366	0.16603118
ASV_111	0.148372	0.09819291	0.16033028	0.18659296
ASV_874	0.145964	0.1654802	0.1265209	0.1458917
ASV_150	0.145662	0.1433205	0.1298826	0.1637822
ASV_122	0.145945	0.1250850	0.1776114	0.1351374
ASV_112	0.145746	0.0441394	0.2117767	0.1813208
ASV_116	0.13521	0.26179493	0.04806719	0.09576925
ASV_115	0.149851	0.15050818	0.26645412	0.03258943
ASV_352	0.142311	0.1143468	0.1745816	0.1380033
ASV_119	0.141448	0.09183415	0.16191360	0.17059560
ASV_125	0.137454	0.1407696	0.1483045	0.1232877
ASV_126	0.137942	0.1153294	0.1542600	0.1442355
ASV_118	0.133485	0.1477091	0.1442913	0.1084556
ASV_120	0.130619	0.20524488	0.08665681	0.09995499
ASV_129	0.127634	0.1429597	0.1112690	0.1286719
ASV_708	0.127054	0.1238226	0.1487423	0.1085982
ASV_123	0.124523	0.1522645	0.1031007	0.1182048
ASV_127	0.124263	0.1347062	0.1022292	0.1358522
ASV_137	0.123724	0.16031584	0.09526695	0.11558866
ASV_135	0.124972	0.1080796	0.1405291	0.1263082
ASV_971	0.123107	0.1234640	0.1032784	0.1425775
ASV_124	0.123013	0.1255483	0.1064685	0.1370233
ASV_121	0.124653	0.09822601	0.16976062	0.10597164
ASV_133	0.121615	0.1389841	0.1144125	0.1114499
ASV_140	0.116713	0.14926060	0.09444876	0.10642858
ASV_156	0.118187	0.16088346	0.11295452	0.08072361
ASV_128	0.118232	0.08970731	0.13675239	0.12823493
ASV_132	0.112246	0.17525799	0.07879458	0.08268608
ASV_142	0.116975	0.09899606	0.13705218	0.11487606
ASV_206	0.111032	0.20045843	0.05929243	0.07334407
ASV_141	0.111472	0.20594766	0.05089171	0.07757722
ASV_130	0.112577	0.13804687	0.07061555	0.12906852
ASV_154	0.112587	0.1180806	0.1092347	0.1104448
ASV_153	0.108827	0.0998800	0.1164476	0.1101541
ASV_461	0.106295	0.13759294	0.09446125	0.08683157
ASV_163	0.108066	0.08050406	0.14079912	0.10289349
ASV_964	0.105788	0.09064839	0.10786186	0.11885501
ASV_162	0.106987	0.11701563	0.13072763	0.07321876
ASV_157	0.10437	0.12173428	0.09883601	0.09253930
ASV_145	0.103033	0.11290978	0.06694949	0.12924102
ASV_1068	0.1035	0.18546360	0.07150024	0.05353505
ASV_147	0.104671	0.12821594	0.09006273	0.09573516
ASV_144	0.105118	0.09413890	0.12715807	0.09405681
ASV_143	0.102914	0.10138711	0.09054872	0.11680530
ASV_148	0.105169	0.10544520	0.11266348	0.09739922
ASV_151	0.104866	0.11965381	0.11373391	0.08121044
ASV_146	0.101722	0.06948064	0.08431369	0.15137179
ASV_159	0.103768	0.06431895	0.11374775	0.13323832
ASV_158	0.100785	0.10507386	0.09334898	0.10393091
ASV_149	0.100002	0.11492792	0.07742204	0.10765483
ASV_172	0.105815	0.05048938	0.23600706	0.03094972
ASV_173	0.09476	0.25215588	0.02941075	0.00271245
ASV_167	0.097439	0.13464888	0.08204028	0.07562652
ASV_164	0.101191	0.06630095	0.15376381	0.08350680
ASV_170	0.098678	0.08491441	0.11772595	0.09339476
ASV_152	0.096042	0.08346944	0.06772463	0.13693080
ASV_240	0.097858	0.07900183	0.11720924	0.09736335
ASV_181	0.096064	0.07269312	0.10626414	0.10923613
ASV_174	0.094313	0.01628878	0.07741192	0.18923890
ASV_182	0.093197	0.12879762	0.07488803	0.07590491
ASV_195	0.093888	0.12145111	0.09397709	0.06623726
ASV_190	0.09136	0.11186044	0.05765175	0.10456737
ASV_742	0.091368	0.09950683	0.08352932	0.09106636
ASV_169	0.091833	0.05805845	0.08871712	0.12872413
ASV_243	0.091299	0.09986673	0.07281224	0.10121895
ASV_186	0.091564	0.06343921	0.09592237	0.11532955
ASV_330	0.089313	0.11380577	0.08106577	0.07306757
ASV_161	0.094124	0.01636562	0.20176180	0.06424342
ASV_183	0.091821	0.09176227	0.15008585	0.03361526
ASV_178	0.088798	0.08366801	0.09775269	0.08497310
ASV_160	0.0885	0.09437316	0.10330898	0.06781882
ASV_175	0.085438	0.17417695	0.02417474	0.05796259
ASV_185	0.084336	0.12708399	0.05107486	0.07484767
ASV_237	0.085285	0.09574901	0.06413236	0.09597463
ASV_187	0.083112	0.13747216	0.04716614	0.06469858
ASV_192	0.08314	0.10622383	0.06003978	0.08315706
ASV_165	0.084904	0.09370058	0.10093258	0.06007885
ASV_1654	0.084808	0.06656062	0.10163616	0.08622597
ASV_184	0.081525	0.11565975	0.06008639	0.06882921
ASV_177	0.082654	0.05595691	0.09367668	0.09832749
ASV_200	0.08014	0.05289427	0.04165913	0.14586627
ASV_188	0.079365	0.08894422	0.06765009	0.08149971
ASV_217	0.08119	0.03880142	0.14383291	0.06093680
ASV_223	0.078244	0.11647802	0.03427283	0.08398235
ASV_202	0.081582	0.03745818	0.16222514	0.04506164
ASV_209	0.077763	0.07647563	0.06540004	0.09141255
ASV_198	0.077487	0.10786550	0.06476885	0.05982775
ASV_224	0.077966	0.08668655	0.07625489	0.07095633
ASV_204	0.076605	0.02617890	0.08251847	0.12111895
ASV_207	0.075997	0.09159444	0.06898195	0.06741483
ASV_213	0.075659	0.07147832	0.06584966	0.08965001
ASV_248	0.075569	0.07368343	0.09991315	0.05311150
ASV_203	0.073883	0.04265011	0.08146390	0.09753470
ASV_246	0.077403	0.04425292	0.15931643	0.02864107
ASV_199	0.073646	0.06411900	0.07645913	0.08035926
ASV_215	0.072189	0.07781570	0.05708928	0.08166067
ASV_210	0.073784	0.06386546	0.08880661	0.06868066
ASV_219	0.072158	0.07311663	0.07472640	0.06863006
ASV_194	0.071665	0.06778180	0.06959302	0.07762053
ASV_201	0.070215	0.14398845	0.02183846	0.04481813
ASV_2195	0.072826	0.06500980	0.09900345	0.05446426
ASV_235	0.071677	0.05482286	0.07401615	0.08619263
ASV_218	0.06952	0.1220957	0.0321886	0.0542760
ASV_227	0.07148	0.05888979	0.07681761	0.07873388
ASV_212	0.070303	0.07159156	0.06516884	0.07414961
ASV_191	0.071253	0.02421935	0.09306200	0.09647866
ASV_208	0.070349	0.04130872	0.06824274	0.10149557
ASV_238	0.068862	0.08778663	0.05435224	0.06444701
ASV_245	0.069786	0.07230697	0.08158768	0.05546342
ASV_216	0.069973	0.07018864	0.08165560	0.05807408
ASV_279	0.068234	0.06326871	0.07141859	0.07001446
ASV_222	0.068125	0.04671834	0.07443442	0.08322144
ASV_225	0.065918	0.07383525	0.04432881	0.07958882
ASV_345	0.069289	0.05423161	0.09361251	0.06002430
ASV_1351	0.067964	0.05945728	0.07909335	0.06534045
ASV_233	0.06676	0.07709186	0.06021509	0.06297227
ASV_274	0.064444	0.10526711	0.03549337	0.05257299
ASV_221	0.065705	0.08251871	0.05850546	0.05609151
ASV_231	0.066412	0.04543591	0.09849043	0.05531115
ASV_234	0.065631	0.07285487	0.05758003	0.06645812
ASV_244	0.065803	0.09656649	0.06858394	0.03225897
ASV_214	0.066858	0.05248564	0.08471573	0.06337171
ASV_236	0.065896	0.05707263	0.07959100	0.06102577
ASV_220	0.064176	0.08811144	0.04652268	0.05789275
ASV_205	0.065126	0.05591922	0.06433086	0.07512721
ASV_229	0.064581	0.04427307	0.06158353	0.08788527
ASV_289	0.065288	0.03456925	0.09746656	0.06382683
ASV_242	0.063824	0.06538501	0.06225439	0.06383123
ASV_276	0.063836	0.05807852	0.06249771	0.07093185
ASV_249	0.06215	0.07048642	0.04814701	0.06781513
ASV_421	0.064082	0.03508482	0.08148218	0.07567954
ASV_228	0.063083	0.05490402	0.06394966	0.07039517
ASV_252	0.061927	0.06325258	0.05203659	0.07049107
ASV_250	0.062583	0.04536392	0.05534180	0.08704399
ASV_288	0.062829	0.05442549	0.07074220	0.06331828
ASV_258	0.06064	0.07682891	0.05839429	0.04669553
ASV_254	0.063614	0.07665158	0.07397570	0.04021455
ASV_265	0.062077	0.05135740	0.07461936	0.06025514
ASV_251	0.060059	0.10641536	0.02443170	0.04932894
ASV_259	0.061752	0.04170312	0.06877622	0.07477764
ASV_261	0.061041	0.03399399	0.06225162	0.08687788
ASV_230	0.060133	0.04664450	0.04972866	0.08402672
ASV_263	0.060397	0.06752267	0.06819816	0.04547094
ASV_273	0.060553	0.05728831	0.06254431	0.06182659
ASV_247	0.060773	0.01602999	0.08234547	0.08394463
ASV_255	0.061226	0.04357081	0.08138204	0.05872527
ASV_301	0.060059	0.07689551	0.05973540	0.04354621
ASV_257	0.059048	0.08704226	0.04210901	0.04799341
ASV_253	0.058268	0.08221106	0.03818725	0.05440437
ASV_286	0.060537	0.03971473	0.08117497	0.06072201
ASV_264	0.059597	0.05519779	0.06341938	0.06017353
ASV_267	0.057602	0.07172027	0.03469541	0.06638904
ASV_283	0.059017	0.04510618	0.06241773	0.06952829
ASV_278	0.057793	0.07682547	0.04995927	0.04659359
ASV_294	0.059657	0.03642383	0.08530145	0.05724576
ASV_281	0.058767	0.06167694	0.06673950	0.04788453
ASV_239	0.056648	0.06322926	0.03812857	0.06858484
ASV_271	0.059276	0.04866998	0.08834526	0.04081379
ASV_241	0.057412	0.03735016	0.07061445	0.06427245
ASV_2086	0.056452	0.06016204	0.04809044	0.06110275
ASV_269	0.056125	0.06658771	0.04515115	0.05663668
ASV_306	0.056368	0.06126299	0.04709946	0.06074244
ASV_324	0.056158	0.05915064	0.04931326	0.06000914
ASV_280	0.055951	0.06579508	0.05172325	0.05033320
ASV_262	0.056085	0.05736798	0.05112990	0.05975839
ASV_300	0.055542	0.05815666	0.05666672	0.05180156
ASV_393	0.055286	0.06223414	0.05207886	0.05154389
ASV_1414	0.054669	0.07953952	0.04622056	0.03824599
ASV_342	0.055782	0.05628444	0.06621142	0.04485004
ASV_260	0.055705	0.04569574	0.06706530	0.05435327
ASV_282	0.053917	0.08608756	0.03986098	0.03580382
ASV_897	0.054589	0.06217873	0.05426440	0.04732409
ASV_275	0.052939	0.06071367	0.03123082	0.06687199
ASV_312	0.053471	0.08235772	0.04167493	0.03637941
ASV_277	0.053039	0.07587190	0.04193086	0.04131505
ASV_291	0.05344	0.05400008	0.05161324	0.05470603
ASV_268	0.054357	0.04723230	0.07097688	0.04486307
ASV_327	0.054844	0.04063452	0.07453143	0.04936667
ASV_270	0.053585	0.06149760	0.04915404	0.05010241
ASV_287	0.053791	0.05369288	0.06550856	0.04217051
ASV_321	0.053253	0.06020474	0.04963640	0.04991898
ASV_331	0.052162	0.07351599	0.03818643	0.04478409
ASV_285	0.053118	0.04261309	0.05905776	0.05768375
ASV_2368	0.052655	0.03803952	0.06283673	0.05708814
ASV_515	0.053151	0.04021767	0.07081411	0.04842129
ASV_305	0.052166	0.03313892	0.05914836	0.06421203
ASV_308	0.051533	0.07508474	0.04626136	0.03325208
ASV_297	0.052728	0.04488765	0.07620189	0.03709474
ASV_2201	0.051292	0.07931361	0.04913494	0.02542743
ASV_307	0.050226	0.08309029	0.03163707	0.03595157
ASV_292	0.050181	0.06887625	0.03781223	0.04385530
ASV_315	0.05046	0.05754567	0.04236515	0.05147006
ASV_295	0.05036	0.05101714	0.05392961	0.04613184
ASV_323	0.049478	0.05539326	0.04457254	0.04846908
ASV_948	0.049856	0.05443393	0.05164288	0.04348983
ASV_296	0.050966	0.02035796	0.08024163	0.05229863
ASV_314	0.050289	0.03574284	0.06783321	0.04729175
ASV_316	0.048919	0.02379347	0.03342266	0.08954083
ASV_317	0.049435	0.08566950	0.03751398	0.02512145
ASV_302	0.050086	0.01616994	0.07687521	0.05721432
ASV_310	0.050404	0.02595265	0.08095728	0.04430279
ASV_303	0.049652	0.02790705	0.06968020	0.05136956
ASV_311	0.049482	0.02502371	0.07906289	0.04435898
ASV_354	0.04859	0.05401499	0.04998909	0.04176651
ASV_356	0.048585	0.03640650	0.05460624	0.05474134
ASV_290	0.048378	0.05109973	0.04750322	0.04653187
ASV_293	0.047979	0.03007762	0.06266017	0.05120065
ASV_304	0.048556	0.03001019	0.06174359	0.05391502
ASV_531	0.047105	0.09117474	0.03974888	0.01039259
ASV_299	0.047058	0.05514241	0.03152017	0.05451026
ASV_298	0.045447	0.06276521	0.02855256	0.04502404
ASV_340	0.047365	0.03399421	0.06267663	0.04542362
ASV_412	0.04588	0.05297428	0.04042239	0.04424313
ASV_351	0.047807	0.03994959	0.08267569	0.02079562
ASV_319	0.045116	0.05065341	0.03501691	0.04967848
ASV_343	0.04556	0.04480300	0.04183574	0.05004060
ASV_360	0.045368	0.03792845	0.04765982	0.05051511
ASV_349	0.045126	0.05656923	0.04360128	0.03520606
ASV_309	0.04483	0.04641606	0.04131326	0.04676199
ASV_326	0.045666	0.02879634	0.06600654	0.04219436
ASV_333	0.045207	0.03138395	0.05381490	0.05042225
ASV_344	0.043588	0.06499817	0.03136019	0.03440432
ASV_346	0.04489	0.04113464	0.05652867	0.03700564
ASV_335	0.045088	0.02610651	0.07287041	0.03628791
ASV_336	0.043341	0.06677748	0.03468317	0.02856219
ASV_396	0.044119	0.03458264	0.04830620	0.04946795
ASV_338	0.042584	0.08375134	0.01277865	0.03122147
ASV_362	0.044411	0.03650021	0.05881560	0.03791631
ASV_347	0.043693	0.04601027	0.04886393	0.03620589
ASV_313	0.043247	0.03073739	0.04730392	0.05169835
ASV_318	0.042941	0.02586940	0.04129162	0.06166180
ASV_371	0.04304	0.03753311	0.04147046	0.05011619
ASV_387	0.043752	0.04882529	0.05655825	0.02587233
ASV_320	0.042497	0.05327384	0.02519258	0.04902342
ASV_332	0.04295	0.0506795	0.0382523	0.0399186
ASV_376	0.044319	0.02734919	0.08234202	0.02326459
ASV_573	0.042464	0.06085454	0.03928857	0.02725018
ASV_366	0.042598	0.04713360	0.04060540	0.04005565
ASV_370	0.043091	0.02640241	0.05571873	0.04715218
ASV_372	0.04316	0.03588394	0.05474439	0.03885254
ASV_853	0.042323	0.05499761	0.03614029	0.03583129
ASV_364	0.04336	0.02015001	0.07563125	0.03429750
ASV_873	0.042964	0.03706269	0.05777123	0.03405877
ASV_334	0.042333	0.02116981	0.05735080	0.04847886
ASV_337	0.043101	0.03026857	0.06003276	0.03900252
ASV_350	0.041063	0.02705337	0.02740412	0.06873273
ASV_361	0.042218	0.04459423	0.04903910	0.03301930
ASV_379	0.041779	0.06349192	0.02757010	0.03427603
ASV_391	0.04083	0.06973633	0.02209322	0.03065972
ASV_390	0.041616	0.04464151	0.04262257	0.03758337
ASV_353	0.04112	0.04766592	0.04294707	0.03274624
ASV_394	0.040985	0.03412188	0.03422563	0.05460787
ASV_341	0.040547	0.04544992	0.03362377	0.04256735
ASV_382	0.041851	0.03773028	0.05613517	0.03168743
ASV_374	0.041387	0.03133012	0.05378801	0.03904215
ASV_385	0.040221	0.04211176	0.03882606	0.03972598
ASV_389	0.040121	0.05737922	0.03708557	0.02589674
ASV_439	0.040746	0.03306477	0.04934117	0.03983335
ASV_373	0.040406	0.03365611	0.04463942	0.04292097
ASV_1534	0.040331	0.03594152	0.05059283	0.03445878
ASV_436	0.040142	0.04181620	0.04516868	0.03344087
ASV_538	0.039144	0.04297862	0.03133633	0.04311683
ASV_555	0.039849	0.03536459	0.04224946	0.04193319
ASV_426	0.039395	0.05045807	0.03814779	0.02957963
ASV_329	0.039626	0.01819323	0.04582717	0.05485681
ASV_2902	0.039945	0.01273932	0.05539646	0.05169835
ASV_363	0.038995	0.03258217	0.03593734	0.04846453
ASV_355	0.039348	0.03678094	0.04720018	0.03406340
ASV_407	0.038514	0.03535255	0.03205012	0.04813882
ASV_359	0.039145	0.04610276	0.04233195	0.02899899
ASV_816	0.038506	0.02703181	0.03725711	0.05122869
ASV_365	0.036916	0.05140646	0.02078861	0.03855368
ASV_1208	0.038379	0.04704936	0.04350158	0.02458539
ASV_383	0.038215	0.02286952	0.04242775	0.04934644
ASV_381	0.038293	0.03119854	0.04879005	0.03489110
ASV_597	0.037218	0.05899362	0.02528696	0.02737220
ASV_358	0.037667	0.03595953	0.03988438	0.03715829
ASV_505	0.037776	0.02628831	0.04443604	0.04260407
ASV_402	0.036885	0.05167531	0.03321573	0.02576459
ASV_401	0.037529	0.03016086	0.04382523	0.03860065
ASV_400	0.036945	0.03412684	0.03917245	0.03753547
ASV_414	0.037545	0.02623476	0.05634402	0.03005517
ASV_625	0.035742	0.04931700	0.02865817	0.02925003
ASV_435	0.036605	0.03523766	0.04015953	0.03441926
ASV_441	0.035696	0.04684708	0.03280071	0.02744133
ASV_375	0.035781	0.03422120	0.03730369	0.03581759
ASV_395	0.036292	0.03502568	0.04223483	0.03161625
ASV_405	0.035506	0.05562148	0.02559380	0.02530218
ASV_413	0.035707	0.02962177	0.03312709	0.04437183
ASV_458	0.036827	0.04390171	0.04887278	0.01770690
ASV_652	0.03485	0.07171617	0.01787523	0.01495968
ASV_380	0.035832	0.02817337	0.04379220	0.03553045
ASV_404	0.036285	0.02738824	0.04931982	0.03214659
ASV_418	0.035959	0.03846073	0.03811465	0.03130283
ASV_445	0.035788	0.03814721	0.04098260	0.02823537
ASV_588	0.035953	0.03140796	0.04327216	0.03317780
ASV_593	0.035397	0.04146164	0.03064129	0.03408667
ASV_556	0.035799	0.04572699	0.03904534	0.02262405
ASV_384	0.034852	0.03356100	0.02913521	0.04186063
ASV_417	0.03557	0.03761246	0.04291384	0.02618435
ASV_386	0.035637	0.03140364	0.03741058	0.03809609
ASV_422	0.034808	0.04075363	0.03054349	0.03312735
ASV_523	0.034241	0.05120769	0.02194969	0.02956590
ASV_398	0.035174	0.03162866	0.04657647	0.02731567
ASV_419	0.034658	0.03723645	0.04355174	0.02318468
ASV_433	0.034526	0.03714740	0.02584745	0.04058253
ASV_438	0.034603	0.05130329	0.03342244	0.01908418
ASV_416	0.035081	0.04785342	0.03912634	0.01826459
ASV_367	0.034067	0.04591046	0.03125039	0.02503986
ASV_582	0.034669	0.02575679	0.03529708	0.04295285
ASV_377	0.03461	0.03070534	0.04452613	0.02859791
ASV_425	0.035246	0.01446260	0.05571061	0.03556432
ASV_1983	0.033616	0.04366630	0.03223808	0.02494313
ASV_409	0.03374	0.04300927	0.03521333	0.02299742
ASV_460	0.032387	0.05215628	0.01479172	0.03021344
ASV_392	0.032743	0.03256622	0.02410726	0.04155493
ASV_397	0.033818	0.02267141	0.05106221	0.02771944
ASV_411	0.03297	0.03327392	0.02754801	0.03808678
ASV_403	0.033432	0.00885271	0.05900827	0.03243495
ASV_465	0.033889	0.06070287	0.02924935	0.01171339
ASV_442	0.031741	0.06067444	0.01919445	0.01535417
ASV_478	0.032626	0.03746490	0.02771241	0.03270008
ASV_1275	0.032179	0.04510401	0.02698320	0.02444938
ASV_444	0.032086	0.03892364	0.03090698	0.02642744
ASV_440	0.032242	0.02746427	0.04078065	0.02848063
ASV_507	0.032508	0.03612561	0.03909347	0.02230433
ASV_1027	0.032019	0.03726822	0.03141223	0.02737746
ASV_470	0.032519	0.02067034	0.04831277	0.02857306
ASV_410	0.031118	0.04617026	0.02273732	0.02444633
ASV_415	0.031388	0.06988366	0.01380564	0.01047389
ASV_452	0.032375	0.03748127	0.03509553	0.02454771
ASV_399	0.031147	0.02616213	0.02940424	0.03787488
ASV_406	0.031776	0.02891626	0.03422349	0.03218792
ASV_424	0.032181	0.01750197	0.04806156	0.03097888
ASV_454	0.032123	0.01305585	0.06688248	0.01642961
ASV_457	0.031433	0.02938250	0.03086224	0.03405400
ASV_481	0.03165	0.03224070	0.03869591	0.02401390
ASV_539	0.031485	0.03972008	0.02802118	0.02671343
ASV_432	0.030744	0.05289263	0.01173679	0.02760213
ASV_428	0.030827	0.03333716	0.02747623	0.03166796
ASV_467	0.032064	0.01903872	0.05675045	0.02040221
ASV_506	0.031667	0.02820342	0.04136521	0.02543241
ASV_408	0.030102	0.05556572	0.02075786	0.01398265
ASV_423	0.031223	0.02480867	0.03533840	0.03352112
ASV_480	0.031575	0.01415471	0.03908613	0.04148534
ASV_547	0.031023	0.02348063	0.03423973	0.03534758
ASV_509	0.031843	0.01366409	0.05961211	0.02225370
ASV_542	0.030757	0.02937594	0.03385805	0.02903811
ASV_669	0.03051	0.01988095	0.02349448	0.04815333
ASV_450	0.029933	0.03571446	0.02478742	0.02929648
ASV_448	0.030357	0.02359855	0.03993612	0.02753642
ASV_466	0.030205	0.03713965	0.02813055	0.02534423
ASV_569	0.030493	0.01984342	0.03896416	0.03267203
ASV_443	0.029552	0.003247163	0.031694188	0.053716087
ASV_463	0.029979	0.02471687	0.03120934	0.03401119
ASV_485	0.030955	0.01634286	0.05610879	0.02041414
ASV_491	0.030136	0.02069905	0.03973554	0.02997303
ASV_494	0.029796	0.02858918	0.02814392	0.03265478
ASV_482	0.029865	0.02682171	0.03009745	0.03267582
ASV_430	0.029544	0.02247778	0.03291673	0.03323614
ASV_811	0.029551	0.03261187	0.03113812	0.02490171
ASV_472	0.029342	0.01974000	0.03382087	0.03446526
ASV_479	0.029314	0.02234853	0.03150296	0.03409183
ASV_628	0.02916	0.02778934	0.02506337	0.03462800
ASV_1299	0.029299	0.02627445	0.03119377	0.03042937
ASV_540	0.030426	0.01094965	0.06624228	0.01408603
ASV_604	0.029749	0.02533827	0.04308179	0.02082608
ASV_429	0.029261	0.02388064	0.03393163	0.02997078
ASV_486	0.028948	0.02876890	0.03213725	0.02593907
ASV_535	0.029546	0.03163417	0.03931736	0.01768705
ASV_544	0.030089	0.008721406	0.060726438	0.020819809
