unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.178	0.159	0.109	0.192	0.0833	0.178	0.219	0.186	0.140	0.124	0.163	0.172	0.123	0.143	0.149	0.142	0.142
KO2	0.178	0	0.201	0.192	0.334	0.217	0.183	0.152	0.192	0.189	0.147	0.169	0.157	0.223	0.136	0.158	0.156	0.143
KO3	0.159	0.201	0	0.130	0.203	0.145	0.241	0.216	0.188	0.179	0.158	0.220	0.172	0.183	0.175	0.173	0.134	0.141
KO4	0.109	0.192	0.130	0	0.182	0.116	0.226	0.245	0.222	0.170	0.155	0.210	0.163	0.141	0.166	0.158	0.126	0.153
KO5	0.192	0.334	0.203	0.182	0	0.161	0.341	0.337	0.296	0.254	0.260	0.314	0.280	0.205	0.289	0.282	0.233	0.259
KO6	0.0833	0.217	0.145	0.116	0.161	0	0.227	0.267	0.228	0.188	0.164	0.208	0.214	0.165	0.197	0.191	0.170	0.188
OE1	0.178	0.183	0.241	0.226	0.341	0.227	0	0.170	0.200	0.163	0.135	0.0881	0.225	0.241	0.137	0.187	0.223	0.161
OE2	0.219	0.152	0.216	0.245	0.337	0.267	0.170	0	0.147	0.153	0.149	0.150	0.180	0.222	0.148	0.189	0.184	0.147
OE3	0.186	0.192	0.188	0.222	0.296	0.228	0.200	0.147	0	0.118	0.144	0.183	0.131	0.149	0.130	0.127	0.156	0.127
OE4	0.140	0.189	0.179	0.170	0.254	0.188	0.163	0.153	0.118	0	0.126	0.148	0.129	0.137	0.117	0.133	0.129	0.111
OE5	0.124	0.147	0.158	0.155	0.260	0.164	0.135	0.149	0.144	0.126	0	0.105	0.150	0.170	0.0814	0.112	0.118	0.0797
OE6	0.163	0.169	0.220	0.210	0.314	0.208	0.0881	0.150	0.183	0.148	0.105	0	0.205	0.222	0.126	0.164	0.183	0.135
WT1	0.172	0.157	0.172	0.163	0.280	0.214	0.225	0.180	0.131	0.129	0.150	0.205	0	0.120	0.120	0.108	0.0941	0.116
WT2	0.123	0.223	0.183	0.141	0.205	0.165	0.241	0.222	0.149	0.137	0.170	0.222	0.120	0	0.160	0.127	0.119	0.149
WT3	0.143	0.136	0.175	0.166	0.289	0.197	0.137	0.148	0.130	0.117	0.0814	0.126	0.120	0.160	0	0.0924	0.123	0.0654
WT4	0.149	0.158	0.173	0.158	0.282	0.191	0.187	0.189	0.127	0.133	0.112	0.164	0.108	0.127	0.0924	0	0.112	0.0991
WT5	0.142	0.156	0.134	0.126	0.233	0.170	0.223	0.184	0.156	0.129	0.118	0.183	0.0941	0.119	0.123	0.112	0	0.0986
WT6	0.142	0.143	0.141	0.153	0.259	0.188	0.161	0.147	0.127	0.111	0.0797	0.135	0.116	0.149	0.0654	0.0991	0.0986	0
