manhatten	KO1	OE1	OE6	OE2	OE5	OE3	WT3	OE4	WT6	KO2	WT4	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	596.0	565.0	600.0	613.0	633.0	591.0	612.0	581.0	608.0	664.0	681.0	711.0	685.0	755.0	781.0	839.0	880.0
OE1	596.0	0	441.0	484.0	501.0	539.0	529.0	558.0	575.0	630.0	598.0	629.0	703.0	731.0	727.0	823.0	897.0	970.0
OE6	565.0	441.0	0	487.0	494.0	514.0	538.0	531.0	548.0	573.0	575.0	600.0	694.0	720.0	716.0	794.0	836.0	937.0
OE2	600.0	484.0	487.0	0	529.0	573.0	535.0	578.0	581.0	572.0	600.0	635.0	697.0	709.0	729.0	799.0	871.0	932.0
OE5	613.0	501.0	494.0	529.0	0	576.0	532.0	593.0	576.0	589.0	585.0	604.0	644.0	686.0	740.0	794.0	830.0	851.0
OE3	633.0	539.0	514.0	573.0	576.0	0	584.0	593.0	602.0	637.0	649.0	634.0	712.0	750.0	722.0	800.0	866.0	927.0
WT3	591.0	529.0	538.0	535.0	532.0	584.0	0	597.0	570.0	611.0	597.0	618.0	658.0	692.0	716.0	800.0	842.0	863.0
OE4	612.0	558.0	531.0	578.0	593.0	593.0	597.0	0	619.0	656.0	604.0	625.0	707.0	717.0	703.0	785.0	861.0	906.0
WT6	581.0	575.0	548.0	581.0	576.0	602.0	570.0	619.0	0	613.0	609.0	664.0	664.0	694.0	722.0	770.0	792.0	823.0
KO2	608.0	630.0	573.0	572.0	589.0	637.0	611.0	656.0	613.0	0	688.0	673.0	721.0	667.0	761.0	777.0	807.0	880.0
WT4	664.0	598.0	575.0	600.0	585.0	649.0	597.0	604.0	609.0	688.0	0	661.0	687.0	723.0	721.0	809.0	839.0	876.0
WT1	681.0	629.0	600.0	635.0	604.0	634.0	618.0	625.0	664.0	673.0	661.0	0	698.0	736.0	708.0	790.0	848.0	909.0
WT5	711.0	703.0	694.0	697.0	644.0	712.0	658.0	707.0	664.0	721.0	687.0	698.0	0	778.0	758.0	782.0	848.0	857.0
KO6	685.0	731.0	720.0	709.0	686.0	750.0	692.0	717.0	694.0	667.0	723.0	736.0	778.0	0	800.0	740.0	788.0	793.0
WT2	755.0	727.0	716.0	729.0	740.0	722.0	716.0	703.0	722.0	761.0	721.0	708.0	758.0	800.0	0	784.0	834.0	843.0
KO4	781.0	823.0	794.0	799.0	794.0	800.0	800.0	785.0	770.0	777.0	809.0	790.0	782.0	740.0	784.0	0	802.0	815.0
KO3	839.0	897.0	836.0	871.0	830.0	866.0	842.0	861.0	792.0	807.0	839.0	848.0	848.0	788.0	834.0	802.0	0	801.0
KO5	880.0	970.0	937.0	932.0	851.0	927.0	863.0	906.0	823.0	880.0	876.0	909.0	857.0	793.0	843.0	815.0	801.0	0
