SampleID	Group
Healthy01	Healthy
Healthy02	Healthy
Healthy03	Healthy
Healthy04	Healthy
Healthy05	Healthy
Healthy06	Healthy
Healthy07	Healthy
Healthy08	Healthy
Healthy09	Healthy
Healthy10	Healthy
Healthy11	Healthy
Healthy12	Healthy
Healthy13	Healthy
Healthy14	Healthy
Healthy15	Healthy
Healthy16	Healthy
Healthy17	Healthy
Healthy18	Healthy
Healthy19	Healthy
Healthy20	Healthy
Patients01	Patients
Patients02	Patients
Patients03	Patients
Patients04	Patients
Patients05	Patients
Patients06	Patients
Patients07	Patients
Patients08	Patients
Patients09	Patients
Patients10	Patients
Patients11	Patients
Patients12	Patients
Patients13	Patients
Patients14	Patients
Patients15	Patients
Patients16	Patients
Patients17	Patients
Patients18	Patients
Patients19	Patients
Patients20	Patients
