Species	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99	Sample100	Sample101	Sample102	Sample103	Sample104	Sample105	Sample106	Sample107	Sample108	Sample109	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample130	Sample131	Sample132	Sample133	Sample134	Sample135	Sample136	Sample137	Sample138	Sample139	Sample140	Sample141	Sample142	Sample143	Sample144	Sample145	Sample146	Sample147	Sample148	Sample149	Sample150
Species01	0	0	0	0	0	0	0	0	0	0.27777	0.00288	0	0	0.02296	0	0	0	0	0.02422	0	0	0.00962	0	0.22908	0	0	0	0	0.00406	0	0	0	0	0	0	0.02224	0	0	0	0	0	0	0	0.00202	0.06224	0	0	0	0	0	0	0	0	0	0	0	0	0.00424	0	0.00284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00822	0	0	0.00428	0	0	0	0	0.00207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0.02024	0	0	0	0	0	0.06826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02996	0	0	0	0
Species02	0	0	0	0	0	0	0	0	0	0.00284	0	0	0	0.00202	0.24042	0	0	0.02296	0.00026	0	0	0	0	0.02246	0	0	0	0	0	0	0	0	0.0027	0	0	0	0	0	0	0	0	0	0.00264	0	0.00772	0	0	0	0	0.02468	0	0	0	0	0	0	0	0	0	0.02292	0	0	0	0	0.07244	0	0	0	0	0	0	0	0	0	0.00749	0	0	0	0.00724	0	0	0	0	0.02044	0	0	0	0.00444	0	0	0	0	0	0	0	0	0.00496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02229	0	0	0	0	0.02446	0	0.02992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02229	0	0	0	0	0	0	0
Species03	0	0	0	0.00602	0.02272	0	0	0	0	0	0	0	0	0.00228	0.00422	0	0	0	0.00246	0	0	0	0	0.02427	0	0	0	0	0	0	0	0.00442	0	0	0	0	0	0	0	0	0	0.00228	0.00498	0	0	0	0	0	0	0.00608	0	0	0	0	0	0	0	0.06226	0	0	0	0	0	0	0	0	0	0.02826	0	0.00496	0	0	0	0	0.02204	0	0	0	0	0	0	0	0	0	0	0	0	0.0222	0	0	0.00684	0	0	0.00889	0	0	0.02027	0	0	0	0	0	0	0	0	0	0	0.04276	0	0	0	0	0	0	0.22927	0	0	0	0.00279	0.00796	0.22822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0	0	0	0	0.22626	0	0	0.00647	0	0
Species04	0	0	0	0	0	0	0	0	0.0249	0.02624	0.0282	0	0	0	0	0	0	0.02222	0	0	0	0	0	0.02242	0	0	0	0	0.00402	0	0	0	0	0	0	0	0	0.00422	0	0	0	0	0	0	0	0	0	0	0	0.02208	0	0	0	0	0	0	0	0.04268	0	0.00424	0	0	0	0	0.04928	0	0	0.0424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02642	0.00847	0	0	0	0.02744	0	0	0	0	0	0	0	0	0	0	0	0	0.02492	0	0	0	0	0	0	0.00742	0	0	0	0	0	0	0	0	0	0	0	0	0.02694	0	0	0	0	0	0	0	0.00297	0	0	0.07272	0	0	0	0	0	0	0	0.00847	0	0	0	0	0	0	0	0	0	0
Species05	0.24242	0	0	0	0	0	0	0	0	0.0224	0	0.20482	0	0	0.24462	0	0	0	0	0	0	0	0	0	0	0	0.00269	0.00224	0	0	0	0	0	0.02482	0	0.02272	0	0	0	0.00278	0.00042	0	0	0	0	0	0	0.00042	0	0	0	0	0	0	0.02824	0	0	0.04222	0	0.04682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00784	0	0	0	0.04629	0.00076	0	0	0.00467	0	0	0	0.00027	0.22762	0	0	0.00292	0	0	0	0	0	0	0	0.02294	0	0	0	0	0	0	0.02087	0	0	0	0	0	0	0	0	0.02929	0	0.00082	0	0	0	0	0	0	0.0026	0	0.04427	0	0	0	0	0	0.02292	0	0	0	0	0	0	0.02222	0	0	0	0	0	0.02222	0	0	0	0.24722	0
Species06	0.82444	0	0.24224	0.47298	0.22907	0.26892	0.02948	0.22924	0	0.29424	4.66774	2.89649	0.00092	0	0	2.20284	0.04702	0	0.44277	0.02849	0	0.07249	0.22489	2.72062	0.2922	0	0.22788	0.00049	0.04244	0.2944	0	0.27282	0.22878	0.24622	0.26427	0.27774	0.44729	0	0.02042	0.06248	0.04922	0.2422	0.48022	0.06277	0.0276	0	0.02744	0	0	0.04284	0	0.02922	0.29602	0.26826	0.29922	0.26808	0	0.7202	0.26676	0.24482	0.26472	0.24228	0	0.27222	0.42467	0	0.0242	0.04774	0	0.86482	0.02474	0.02242	0.07492	0	0.22494	0	0	0.22226	0.26989	0.04622	0.47204	0.06272	0.2462	2.44984	0	0.20809	0.04227	2.8769	0	0.02227	0.22242	0	0.49242	0.04677	0	0	0.92422	0.04976	0.07782	0.04786	0.22429	0.024	0.24949	0.06782	0.04742	0.00476	0.22244	0.94482	0.2298	0	0.0047	0	0.84848	0	2.42222	0.2289	0.24927	0.08262	0	0.0627	0.00244	0.26449	0.90946	0.02449	0.04688	0	0.24262	0.26822	0	0	0.47749	0.02228	0.02442	0.06222	0.02877	0.49444	0.06296	0.27406	0.00299	0.22967	0.22479	0.22422	0.0264	0.26992	0.0264	0.29292	0.00227	0.0892	0.00272	0.26444
Species07	0	0	0	0	0.90924	0	0	0.94424	0	0	0	0	0	0.02646	0	0	0.92224	4.70299	0.22884	2.46829	0.26824	0	0.27222	0	0.06086	2.26229	0	4.82007	0.02029	0.22279	2.24967	0.09629	0.00262	0	0	0.0842	0.29822	0	0	0	0.07494	2.47894	0	0.22294	0.42284	0	0	0	0.24949	0.02224	0	0.20094	0	0.49672	2.2442	0.02224	0	0.08264	8.88444	0.02429	0.26079	0	0	0	0	0	0.02427	2.22984	0	0.80798	0.0844	0.04922	0.22002	0	0	0	0	0.29876	0	2.04204	0	0.22829	0.22272	0	0	2.40766	0.02404	0	0	0.68227	0.04267	0.22729	0.28482	0	0	0.0264	0.04292	0.628	0	0.48777	2.42292	0.22268	0.02278	2.4228	0	0	0	0	0	0.00294	0	0.27227	0	0	0.00068	0.02766	0.0277	0	0.00024	0	0.27724	0.02228	2.98497	2.27224	0.02	0	0	0.06244	0	0	0.27462	2.80022	2.8826	0.24278	0	0.48827	0.02782	0	0.26728	0	0	0.0229	0	0	0	0.07474	0.46294	0	0.00784	2.27207
Species08	0	0	0	0	0	0.26228	0	0.20242	0	0	0	0	6.27799	0.27227	0	0.42424	0.00744	0	0	0	0.22299	0	0	0.20409	0.09602	2.64224	0.04278	0.02422	0.20204	2.42274	0	0.94284	0.00222	0	0	0	0.02874	0.02244	0	0.22202	0.02228	0.06626	0	0.02426	0	0.42286	0	0.02004	0.02992	0.47072	0.22472	0.0022	0	2.02244	0.22922	0	0	0	0.2874	0	0	0.02476	0	0.09448	2.4244	0	0	0.02426	0.72746	0	0.02262	0	0.00604	0.77299	0.02868	0	0	0.22404	0	0.00678	0	0	0.02279	0	0	0.04442	0.04792	0.02406	0	0.22662	0	2.24924	0	0.22442	0.0942	0	0	0	0	0.02274	0.22922	0.04926	0.22827	0.42227	0	0	2.26724	0	0	0	0.02244	0.22427	0.08228	0	0	0	0	0	0	0.02498	0.77942	0.20072	0.22072	0.06246	0.08724	0	0.48292	0.0079	0	0	0.00042	0	0.04084	0	0.24282	0	0.07022	0.02924	0	0.97047	0.20624	0.24894	0	0	0.24027	0.20282	0.00244	0	0	0.02646
Species09	0.24642	0	0.2024	0	0.29987	0	0.24428	22.08622	0	0.22242	0.04426	0	2.08284	2.42287	0	4.72226	0	0.00472	0.20204	0.22288	4.09648	2.88269	0.48222	0	0.04624	0	0.78462	0.94849	2.92992	0.26462	0	0.22244	9.64874	0	0.00426	2.44488	2.49744	0.02696	0.02922	0	2.04404	2.86428	0	0.82422	2.42297	0	0	0	2.04204	9.24409	0	0.04428	2.9206	2.92204	0	0.24228	0	0	0.00044	0.28494	0	4.48422	0.26262	2.6702	6.29276	0	0.07046	0	2.29498	0.24282	0	0	2.82297	0.29722	22.84822	0.00287	0	0.29444	0	2.22229	0	0.26442	2.02827	0.00644	0	7.64846	0.74498	0	0	2.06464	6.29409	0.64742	2.49289	2.04672	0	0.96668	0.66274	2.24062	0	2.79049	0	0.02444	2.2822	0.28442	0	0.00782	2.42499	0.02227	0	0.42944	0.66276	2.62872	0.42424	0.00474	0.00296	0.04008	0	0	0.0274	2.29279	0.00924	0.22822	0.28828	0	0.09962	0	2.62474	2.26929	0	0.00474	0.00787	2.42727	0.27994	0	0	0.04022	2.27206	4.22426	0.47222	0	2.02926	0.26446	0	2.20426	4.44769	0.26472	0	0	0	24.22426
Species10	0	0	0.22226	0	0.0628	0	0.04802	0	0	0	0	0	0	0	0	0	0	0.0024	0.02428	0	0	0	0	0.08982	0.29094	0	0	0	0	0.00474	0	0.00084	0	0	0	0	0	0	0	0.22024	0	0.02076	0	0.24049	0	0	0	2.9284	0	0	0.02487	0	0	0.07272	0	0	0.22247	0	0	0	0	0	0	0	0	0	0.02822	0	0	0	0.00424	0	0.02942	0	0	0	0	0.00206	0	0	0	0.02294	0	0	0	0	0.04222	0	0	0	0.02798	0	0	0	0.02229	0	0	0	0	0	0	0.02286	0	0	0	0	0	0	0	0	0	0	0.02242	0	0	0.02744	0	0	0	0	0	0.00844	0	0.08696	0.00482	0	0	0.06262	2.92286	0	0	0.46876	0	0	0	0.0047	0	0	0	0	0	0.22822	0.04929	0	0	0	0	0	0	0
