name	group
Species01	Species
Species02	Species
Species03	Species
Species04	Species
Species05	Species
Species06	Species
Species07	Species
Species08	Species
Species09	Species
Species10	Species
Species11	Species
Species12	Species
Species13	Species
Species14	Species
Species15	Species
Species16	Species
Species17	Species
Species18	Species
Species19	Species
Species20	Species
Species21	Species
Species22	Species
Species23	Species
Species24	Species
Species25	Species
Species26	Species
Species27	Species
Species28	Species
Species29	Species
Species30	Species
Species31	Species
Species32	Species
Species33	Species
Species34	Species
Species35	Species
Species36	Species
Species37	Species
Species38	Species
Species39	Species
Species40	Species
Species41	Species
Species42	Species
Species43	Species
Species44	Species
Species45	Species
Species46	Species
Species47	Species
Species48	Species
Species49	Species
Species50	Species
Species51	Species
Species52	Species
Species53	Species
Species54	Species
Species55	Species
Species56	Species
Species57	Species
Species58	Species
Species59	Species
Species60	Species
Species61	Species
Species62	Species
Species63	Species
Species64	Species
Species65	Species
Species66	Species
Species67	Species
Species68	Species
Species69	Species
Species70	Species
Species71	Species
Species72	Species
Species73	Species
Species74	Species
Species75	Species
Species76	Species
Species77	Species
Species78	Species
Species79	Species
Species80	Species
Species81	Species
Species82	Species
Species83	Species
Species84	Species
Species85	Species
Species86	Species
Species87	Species
Species88	Species
Species89	Species
Species90	Species
KO0001	KO
KO0002	KO
KO0003	KO
KO0004	KO
KO0005	KO
KO0011	KO
KO0012	KO
KO0013	KO
KO0014	KO
KO0015	KO
KO0016	KO
KO0017	KO
KO0018	KO
KO0019	KO
KO0020	KO
KO0021	KO
KO0022	KO
KO0023	KO
KO0024	KO
KO0025	KO
KO0026	KO
KO0027	KO
KO0035	KO
KO0036	KO
KO0037	KO
KO0038	KO
KO0039	KO
